n_killed,latitude,longitude
0,33.6241,-112.394
0,36.0351,-78.8924
0,33.567,-112.118
1,39.7807,-86.1436
0,39.9421,-75.1539
0,35.9975,-78.8981
0,42.4217,-82.999
0,40.0374,-76.2993
0,45.5335,-122.542
1,38.8138,-104.748
1,39.8562,-104.963
0,42.2567,-71.7877
0,34.0416,-81.0837
1,32.6733,-117.082
0,41.7046,-86.2828
0,40.8877,-74.0392
0,32.6088,-85.4505
0,30.1978,-95.4545
0,40.4444,-74.1338
1,33.8962,-84.5781
0,30.1802,-95.4558
0,41.1641,-104.802
0,30.0235,-90.0554
0,39.1574,-75.5124
0,40.751,-111.932
2,35.8204,-84.1769
1,28.4708,-81.3692
0,34.7204,-92.4523
0,29.9322,-90.0272
0,39.9641,-75.1916
0,37.0899,-87.303
0,34.9577,-81.0184
0,35.1829,-101.878
0,36.1417,-86.7766
0,33.194,-117.235
0,39.731,-121.896
0,29.2869,-94.815
0,31.7901,-106.522
0,47.4631,-122.337
0,40.6623,-73.8948
0,38.0551,-84.4827
0,30.2093,-97.6529
0,27.7673,-82.6907
0,28.436,-81.3928
0,45.5867,-122.587
0,26.6293,-80.135
0,30.4191,-83.2815
0,43.6539,-70.3095
0,30.7525,-86.5674
0,30.2842,-81.7954
0,32.1217,-110.935
0,33.5011,-88.377
0,32.5453,-117.045
1,32.3262,-90.891
0,38.2368,-85.6594
0,39.1141,-94.6275
0,40.0356,-74.8256
1,40.6181,-105.036
0,37.5738,-77.5384
0,30.0711,-89.9438
0,35.1097,-85.1536
0,43.378,-83.9454
1,39.1452,-84.4743
0,42.3798,-85.4515
0,35.9283,-94.9833
1,39.9658,-79.6671
0,32.8982,-97.0404
1,32.7938,-96.8066
0,37.0638,-76.4601
0,26.5821,-81.7123
0,37.7468,-84.2958
1,29.3582,-99.1285
0,30.6748,-95.5269
0,41.6101,-93.6605
0,41.3318,-72.9352
0,42.4071,-83.1929
1,39.925,-75.104
2,38.127,-81.5783
0,36.0226,-115.067
1,31.5656,-91.3918
0,30.4102,-91.1754
0,32.5543,-84.9507
1,34.767,-86.6015
0,35.9891,-78.9192
0,29.8109,-95.5024
0,29.7752,-95.3102
1,40.6775,-73.7629
0,38.2515,-85.803
0,29.9551,-90.0747
0,30.6748,-95.5269
0,41.4993,-81.6944
0,30.4379,-91.0467
0,39.0709,-76.7127
0,40.0191,-82.8698
0,42.2615,-89.0808
1,30.5458,-92.0865
0,42.2623,-89.1076
0,29.8351,-95.6488
0,41.6524,-83.6647
0,31.3112,-89.312
1,44.9815,-124.008
0,39.9209,-75.1722
0,32.3651,-88.7015
0,39.7844,-75.479
0,38.9414,-77.1008
0,38.8238,-76.999
0,38.9337,-77.0328
0,38.8294,-77.0002
0,46.8713,-96.9041
0,34.0518,-88.5213
0,38.8507,-76.9565
0,29.9551,-90.0747
0,40.7332,-74.0052
1,39.5424,-119.755
0,41.604,-93.6584
0,41.2415,-95.989
1,36.1261,-80.2189
1,39.5481,-89.2948
2,31.678,-89.1448
0,39.2898,-76.6455
0,40.8371,-73.1566
1,42.4168,-83.2812
0,33.4484,-112.074
0,29.4037,-94.9144
0,33.8262,-88.8767
0,47.7157,-117.411
0,35.6277,-77.5696
0,39.8278,-88.9418
1,47.6077,-122.176
0,42.3999,-83.184
1,46.0231,-118.428
1,46.6504,-120.517
1,39.3074,-76.6624
1,38.3197,-81.5789
0,37.8259,-81.9983
0,33.1626,-117.218
0,36.3196,-119.346
0,33.672,-112.204
0,34.7256,-92.3089
0,36.7745,-119.83
1,46.2291,-119.098
0,45.3173,-122.77
0,40.6766,-73.8617
2,40.011,-75.0964
1,44.9632,-124.01
0,35.6681,-105.988
0,42.7356,-73.6848
0,33.5988,-101.862
0,36.6773,-76.9234
0,37.2842,-120.323
0,32.5453,-93.7706
1,29.9452,-90.0377
0,41.5942,-93.6607
1,32.8631,-97.2563
1,45.8237,-108.399
0,34.6306,-98.4222
0,42.5067,-96.396
0,35.5928,-82.5465
0,34.7256,-92.3089
0,36.1263,-86.6774
1,45.8234,-108.398
0,32.4802,-93.8657
0,35.6116,-77.4908
0,37.3382,-121.886
0,29.9499,-90.118
0,41.7028,-87.5596
1,46.5436,-120.756
1,39.9612,-82.9988
0,26.2272,-80.2713
1,44.9776,-93.0254
0,36.7251,-76.6347
0,38.5404,-85.7651
1,29.4786,-98.4954
0,36.4302,-84.0207
0,32.7487,-97.2564
1,38.272,-122.024
0,42.2162,-83.3554
1,35.58,-97.5313
1,41.6873,-87.6303
0,33.159,-80.042
1,25.6302,-80.3757
1,30.278,-81.7241
