n_killed,latitude,longitude
2,27.7882,-82.6727
2,39.7911,-86.1166
2,35.791,-86.3495
2,39.9966,-111.843
2,38.8706,-76.9805
2,32.3039,-90.2257
2,34.0398,-84.0165
2,39.2824,-76.6406
2,39.5572,-104.98
2,41.8781,-87.6298
2,26.2309,-98.2704
2,30.4008,-97.7489
2,29.9504,-93.8964
2,39.557,-104.982
2,32.8121,-96.6424
2,37.8162,-122.279
2,39.818,-86.1326
2,30.4044,-97.7539
2,42.2569,-89.0764
2,36.1623,-85.5962
2,38.2687,-85.7914
2,41.117,-74.2506
2,45.6412,-122.69
2,31.99,-84.3944
2,40.9397,-75.33
2,39.9526,-75.1652
2,28.04,-82.4321
2,30.431,-84.2603
2,40.7551,-105.019
2,37.6876,-96.9824
2,44.8572,-93.5113
2,40.4721,-79.9309
2,37.2973,-89.5312
2,25.9154,-80.2134
2,35.3095,-108.097
2,34.7439,-117.352
2,33.5011,-117.681
2,32.3312,-90.2575
2,44.6759,-73.4474
2,35.2334,-89.9807
2,28.4845,-81.2519
2,43.4312,-73.1948
2,29.9813,-90.0772
2,32.5233,-93.696
2,34.9325,-88.5207
2,34.6224,-79.0091
2,38.4627,-121.316
2,39.1921,-86.5285
2,42.1125,-80.0967
2,45.4991,-122.623
2,40.7171,-74.1916
2,36.2404,-80.2934
2,36.6958,-80.7728
2,41.46,-81.7747
2,33.0463,-96.7288
2,47.9186,-122.305
2,27.7376,-97.4226
2,35.1904,-114.062
2,32.3886,-94.903
2,41.5863,-86.1639
2,26.6702,-80.0632
2,32.3885,-94.908
2,32.4075,-94.858
2,33.4332,-111.58
2,36.3642,-86.5398
2,32.8104,-96.6838
2,42.4327,-83.1006
2,32.4844,-84.9798
2,39.8019,-86.1079
2,26.3438,-81.7598
2,41.9465,-91.7492
2,39.9979,-75.1738
2,39.9829,-75.1238
2,29.9962,-90.1136
2,44.4846,-87.9762
2,38.9075,-77.0176
2,45.8456,-95.3319
2,32.7966,-96.762
2,35.015,-97.9652
2,41.4431,-74.4019
2,32.769,-96.7888
2,39.3809,-85.5613
2,33.9009,-98.4912
2,42.4436,-82.9668
2,38.9047,-76.9316
2,39.791,-104.796
2,38.6841,-90.2974
2,36.1496,-85.5178
2,40.7289,-74.1906
2,29.9403,-90.0618
2,26.2272,-98.1666
2,26.7758,-80.0566
2,40.4465,-81.5566
2,37.7834,-122.424
2,43.7341,-88.7802
2,35.4434,-84.6128
2,33.8612,-118.17
2,33.7128,-112.146
2,32.5011,-93.7676
2,31.1426,-85.2499
2,26.6935,-80.1314
2,33.6402,-84.3851
2,42.0846,-95.2943
2,40.3324,-76.393
2,45.307,-92.1982
2,61.2176,-149.863
2,36.4953,-82.7321
2,38.5957,-90.5413
2,35.8401,-81.8318
2,38.9035,-77.0481
2,29.6843,-95.209
2,28.0328,-80.6882
2,38.8146,-76.9611
2,29.9322,-90.095
2,36.2038,-115.335
2,35.7453,-78.3474
2,41.4294,-81.7526
2,34.2337,-83.7622
2,41.7058,-86.9119
2,38.9273,-94.7005
2,25.4844,-80.4775
2,33.3473,-87.0229
2,34.9907,-87.8176
2,32.5235,-94.2606
2,33.8754,-84.6646
2,38.247,-85.8223
2,39.4956,-123.783
2,40.1176,-75.0145
2,40.8791,-75.4127
2,42.1456,-88.0145
2,,
2,25.8511,-80.1993
2,34.9604,-81.1052
2,41.0595,-80.6064
2,29.3602,-98.5539
2,39.5144,-82.1708
2,36.8508,-76.2859
2,47.6872,-116.784
2,26.4927,-80.0868
2,40.4668,-79.9395
2,26.1302,-80.1239
2,33.3678,-84.7886
2,48.214,-114.353
2,42.383,-83.1263
2,39.5127,-82.1641
2,45.0329,-110.71
2,35.449,-81.1963
2,40.6979,-73.8994
2,40.6085,-74.078
2,40.6979,-73.8994
2,45.8989,-122.528
2,33.9746,-118.316
2,35.1046,-77.0387
2,39.9294,-82.9814
2,43.1904,-71.0412
2,30.4086,-88.7881
2,39.9384,-75.2003
2,36.1681,-81.2167
2,42.1212,-75.9595
2,34.1914,-84.4792
2,42.1031,-75.9449
2,42.0738,-90.6667
2,45.8779,-122.621
2,36.0603,-95.9661
2,26.018,-80.219
2,25.8335,-80.1941
2,33.7563,-117.84
2,36.8342,-86.9012
2,38.6731,-90.2709
2,41.9836,-91.6461
2,39.8276,-86.0048
2,41.2505,-76.9153
2,35.6265,-80.1113
2,32.3285,-106.773
2,32.7184,-96.8938
2,42.4028,-82.9276
2,44.8221,-93.7928
2,33.3929,-79.6727
2,29.7654,-95.3663
2,33.3929,-79.6727
2,35.7551,-78.3871
2,38.7877,-76.9545
2,33.9134,-84.0721
2,44.9484,-93.23
2,39.7496,-84.1512
2,40.7487,-73.9384
2,47.7559,-122.323
2,33.4273,-111.778
2,33.4687,-112.226
2,38.9207,-94.652
2,39.4834,-75.0311
2,30.1291,-93.2659
2,25.961,-80.1277
2,36.3577,-119.07
2,38.7877,-76.9545
2,30.3961,-95.5351
2,38.3318,-75.2141
2,39.7994,-86.2989
2,30.8584,-93.7489
2,30.2785,-90.918
2,29.378,-95.1058
2,36.8444,-76.0617
2,41.7458,-87.5504
2,41.7957,-87.7722
2,34.0336,-84.5686
2,41.8401,-87.7062
2,41.7957,-87.7722
2,27.9704,-82.4249
2,33.8999,-84.5641
2,43.112,-87.965
2,41.5305,-87.4277
2,42.2095,-70.9574
2,37.4982,-77.4385
2,32.334,-90.0092
2,40.1076,-76.9053
2,41.2059,-76.066
2,27.455,-80.3468
2,35.1072,-89.9745
2,33.9909,-118.196
2,31.9771,-102.07
2,35.1735,-89.9907
2,38.1025,-122.219
2,33.8079,-84.0905
2,38.6377,-121.512
2,38.6805,-121.798
2,33.4778,-86.8949
2,42.662,-83.2752
2,30.7606,-91.1065
2,47.6807,-117.401
2,25.9937,-80.2174
2,34.1667,-118.403
2,33.7494,-84.4177
2,39.8083,-105.067
2,30.3725,-95.6287
2,35.8271,-86.3526
2,40.0899,-83.0863
2,40.4668,-79.9395
2,29.6371,-83.1286
2,42.4056,-83.118
2,35.0696,-78.9485
2,65.3198,-151.89
2,42.7675,-71.47
2,43.6265,-95.603
2,40.1176,-75.0145
2,32.2628,-94.0194
2,32.4237,-88.3531
2,39.9714,-75.2259
2,39.1891,-84.5738
2,38.6256,-121.444
2,33.8723,-118.213
2,29.5829,-95.6906
2,40.6989,-73.6047
2,37.2571,-121.879
2,35.858,-78.8463
2,40.0502,-75.1713
2,28.4079,-81.4897
2,41.1941,-85.1891
2,39.1886,-84.4825
2,43.5829,-116.244
2,45.5866,-122.715
2,28.5428,-81.5089
2,36.869,-94.368
2,30.1869,-85.7689
2,40.8852,-73.8303
2,33.7303,-84.2573
2,34.7507,-89.4538
2,32.5359,-93.7044
2,29.0163,-82.0833
2,31.5464,-97.1595
2,29.6306,-95.5069
2,29.631,-95.5067
2,34.5697,-118.078
2,46.8674,-122.268
2,31.8715,-82.5991
2,26.6406,-81.8723
2,36.0543,-79.7886
2,33.7129,-116.314
2,40.7699,-74.164
2,35.671,-81.8623
2,29.8562,-95.4445
2,43.0845,-87.9247
2,30.3524,-91.1305
2,33.7982,-84.6154
2,38.4657,-75.053
2,33.7092,-84.1903
2,46.2776,-119.196
2,32.7684,-97.4089
2,39.4045,-75.0397
2,32.2162,-110.971
2,33.3638,-111.929
2,38.7936,-90.2875
2,32.7591,-99.8981
2,29.2653,-81.0883
2,33.8821,-118.131
2,31.7021,-102.415
2,30.1568,-85.6321
2,39.3915,-74.5534
2,25.7684,-80.3105
2,39.052,-84.503
2,39.812,-84.1048
2,39.0224,-95.7052
2,29.7603,-95.8052
2,41.4492,-90.1489
2,34.0702,-118.359
2,39.8114,-86.1627
2,42.6934,-84.6084
2,42.3477,-83.1397
2,36.4621,-82.2761
2,41.8182,-87.6336
2,35.393,-92.9584
2,32.8389,-83.6856
2,47.1626,-114.87
2,38.2037,-85.8316
2,39.3265,-79.5204
2,47.598,-122.295
2,42.904,-78.5234
2,46.4566,-90.1304
2,33.479,-86.9022
2,29.7604,-95.3698
2,35.3116,-91.6192
2,41.2029,-73.0832
2,38.6129,-121.505
2,41.6925,-72.9419
2,32.5118,-94.8013
2,34.0267,-84.3765
2,36.3079,-82.7848
2,33.9553,-84.6562
2,31.3409,-89.2345
2,37.2963,-87.5118
2,35.2279,-101.763
2,26.5901,-81.8771
2,26.5901,-81.8771
2,32.7028,-117.037
2,32.7185,-117.162
2,40.7033,-74.0893
2,28.884,-82.3669
2,46.2109,-119.174
2,45.6599,-122.538
2,45.6396,-122.68
2,45.5298,-122.407
2,39.9057,-75.2933
2,41.6644,-86.0932
2,25.9884,-80.2927
2,38.4513,-105.242
2,42.3659,-83.2995
2,25.678,-80.4257
2,25.6794,-80.4237
2,34.0757,-117.571
2,39.5251,-119.813
2,34.0284,-81.042
2,39.9008,-79.7032
2,32.9096,-96.521
2,30.4764,-88.2002
2,35.2279,-101.763
2,39.1514,-77.1893
2,39.1505,-77.1913
2,32.7854,-117.173
2,39.6328,-111.437
2,42.4606,-85.6419
2,40.723,-73.4558
2,34.0094,-84.5621
2,39.3699,-84.5624
2,25.8978,-80.1765
2,40.0939,-75.2984
2,42.3461,-79.5755
2,39.1479,-94.6396
2,37.4323,-121.9
2,40.8217,-73.9568
2,40.0842,-82.9904
2,44.9371,-92.934
2,32.3422,-92.3956
2,33.7724,-84.6496
2,33.7887,-84.6286
2,28.5535,-81.3227
2,41.4531,-81.5982
2,41.8803,-71.3728
2,38.5422,-86.465
2,33.9998,-118.309
2,35.7409,-80.4688
2,34.1196,-117.324
2,30.1247,-94.132
2,25.8343,-80.2167
2,33.0944,-94.3154
2,33.945,-118.372
2,36.9076,-76.1303
2,32.0818,-83.8004
2,41.6021,-87.3569
2,42.3936,-83.1258
2,30.6874,-94.7447
2,36.0138,-83.9152
2,33.9322,-118.341
2,45.5041,-122.518
2,31.9965,-102.084
2,42.8075,-106.343
2,33.077,-94.6003
2,42.6158,-87.8255
2,39.298,-76.6786
2,37.6088,-77.4963
2,39.294,-76.6784
2,41.9186,-72.6299
2,29.8148,-95.5734
2,34.7824,-86.9998
2,35.3808,-80.3046
2,36.2818,-80.9947
2,41.7796,-87.6742
2,39.3246,-94.2285
2,36.737,-119.763
2,33.9128,-118.244
2,32.265,-88.1321
2,36.3024,-91.518
2,35.4137,-85.3823
2,39.2905,-76.5423
2,36.7371,-119.763
2,30.7668,-89.8604
2,43.4963,-70.4651
2,25.8316,-80.23
2,40.6802,-73.9576
2,42.3316,-83.0482
2,30.6229,-95.1241
2,42.0138,-86.4632
2,29.4125,-98.4203
2,38.1722,-85.6632
2,40.1068,-74.8718
2,47.6514,-117.424
2,37.5184,-92.635
2,40.9518,-74.6219
2,38.6586,-90.2866
2,38.6586,-90.2866
2,44.9775,-93.0583
2,30.3843,-81.711
2,38.9748,-94.7495
2,29.577,-95.598
2,38.9748,-94.7495
2,39.2595,-86.6347
2,32.2703,-111.035
2,40.9239,-75.9405
2,39.9491,-75.0133
2,30.1337,-93.9963
2,34.2147,-91.9956
2,30.5444,-92.0823
2,31.8748,-111.009
2,40.9359,-80.2769
2,39.3899,-107.09
2,36.3679,-82.3088
2,38.9025,-77.0098
2,38.9673,-77.009
2,37.9842,-85.6846
2,30.364,-97.7903
2,35.1117,-92.2952
2,36.9554,-76.2544
2,35.7121,-97.492
2,34.7666,-89.4457
2,36.7233,-86.579
2,35.5466,-97.6311
2,38.5215,-76.7671
2,42.893,-78.8539
2,29.8377,-95.3681
2,34.2215,-118.432
2,33.9441,-118.397
2,27.8608,-97.633
2,47.6757,-122.302
2,30.769,-86.9824
2,35.5622,-78.8109
2,34.0144,-117.427
2,37.2389,-79.3497
2,26.0269,-80.1573
2,39.4993,-82.5683
2,38.6807,-85.3298
2,37.8556,-122.484
2,28.3608,-82.7054
2,36.1309,-95.9486
2,39.8995,-82.9845
2,38.7672,-87.3044
2,36.9318,-76.2534
2,40.4964,-105.102
2,33.9772,-81.0331
2,42.3481,-83.0613
2,29.4081,-98.467
2,35.9153,-94.9891
2,43.063,-87.9776
2,32.5394,-93.6808
2,44.8328,-73.894
2,39.8724,-75.3375
2,39.9597,-86.0927
2,32.7353,-97.0944
2,39.9582,-83.0413
2,38.7221,-84.6695
2,29.7822,-95.5006
2,29.9551,-90.0747
2,47.171,-122.512
2,36.5541,-85.1479
2,42.1047,-80.09
2,41.8787,-87.6322
2,39.9024,-83.7956
2,39.959,-83.0258
2,28.6701,-99.1688
2,34.2278,-118.452
2,37.4833,-84.084
2,34.0372,-117.736
2,34.2278,-118.452
2,44.0906,-103.23
2,33.9936,-118.087
2,37.5207,-84.1169
2,37.2979,-89.5249
2,35.8282,-91.1253
2,36.8182,-108.042
2,39.202,-81.5275
2,40.1112,-104.514
2,34.022,-81.0092
2,28.5578,-81.4534
2,29.4844,-95.1028
2,43.5499,-96.7342
2,40.4202,-79.8772
2,33.7439,-117.029
2,40.8947,-74.4564
2,29.7654,-95.3663
2,28.4857,-81.0787
2,41.0629,-80.7175
2,36.6663,-121.625
2,30.0486,-89.9576
2,45.0702,-122.791
2,29.1299,-96.3932
2,42.1921,-74.0052
2,40.1455,-122.135
2,40.0051,-75.1434
2,39.8734,-86.1773
2,29.9594,-90.0192
2,42.6291,-71.3025
2,42.6889,-71.1564
2,32.6127,-90.0123
2,33.1419,-96.7694
2,35.7654,-83.4188
2,34.1744,-84.8861
2,31.0908,-97.3603
2,30.4785,-91.1528
2,33.9676,-84.3154
2,33.5508,-101.878
2,43.1776,-87.986
2,37.0895,-76.4541
2,42.4446,-83.2041
2,42.5671,-82.8618
2,36.0239,-83.9542
2,47.1015,-116.778
2,35.3405,-81.5131
2,38.829,-76.9275
2,43.0403,-87.9405
2,41.7052,-87.6333
2,36.0944,-95.9172
2,34.4979,-93.0473
2,41.8372,-87.6487
2,39.139,-84.4984
2,38.7183,-120.821
2,36.1486,-115.19
2,30.713,-98.2215
2,38.1082,-122.266
2,29.765,-95.3712
2,38.2005,-78.9972
2,34.6208,-78.984
2,32.8876,-96.7046
2,47.4119,-122.179
2,43.0777,-72.6462
2,40.5568,-79.764
2,37.8973,-122.513
2,36.1854,-80.745
2,39.8003,-89.6493
2,31.3145,-89.2932
2,43.0208,-89.4295
2,34.6279,-92.4443
2,42.9088,-78.8172
2,40.032,-75.0315
2,30.0378,-89.9069
2,39.2756,-81.5136
2,42.9098,-78.8168
2,41.8119,-87.7078
2,33.19,-93.2892
2,32.3135,-94.5133
2,37.9891,-87.403
2,39.6782,-76.2883
2,41.2597,-95.9769
2,42.4588,-83.2233
2,39.8289,-75.0078
2,32.9351,-96.7527
2,29.5994,-95.3965
2,32.8896,-97.3332
2,33.9518,-84.0294
2,31.9438,-90.9438
2,34.8284,-82.347
2,29.405,-98.6229
2,34.7329,-92.277
2,30.7012,-98.2208
2,36.8048,-119.682
2,33.7773,-84.4675
2,32.148,-85.7134
2,42.4077,-83.1415
2,33.5438,-86.783
2,40.9672,-75.9825
2,37.8018,-84.8302
2,36.0574,-79.8625
2,33.9746,-118.292
2,32.365,-90.2419
2,35.8049,-90.7276
2,45.4677,-121.564
2,29.787,-95.2933
2,35.0353,-89.8965
2,29.787,-95.3012
2,30.6522,-97.0223
2,32.3598,-86.2192
2,30.9479,-83.4982
2,29.7049,-95.6572
2,40.9601,-124.034
2,38.5123,-121.42
2,42.7614,-106.33
2,28.8247,-96.9674
2,35.9553,-81.3289
2,31.5182,-97.179
2,40.4658,-79.8654
2,35.0163,-78.2123
2,38.664,-90.2852
2,41.466,-87.3518
2,35.8552,-92.1261
2,30.3735,-81.5995
2,43.0313,-78.8762
2,33.6565,-112.232
2,40.6636,-74.3864
2,41.9631,-87.7085
2,32.7765,-79.9311
2,39.8227,-77.2528
2,32.7985,-79.9978
2,33.6292,-112.368
2,26.506,-81.9679
2,40.7417,-73.8253
2,42.3895,-88.1594
2,33.4901,-82.0863
2,42.3675,-83.0123
2,38.75,-90.5271
2,27.9506,-81.8901
2,37.8404,-84.3154
2,36.7325,-88.6409
2,44.4446,-87.7858
2,25.8797,-80.2698
2,41.4084,-75.6633
2,41.5934,-87.3464
2,40.6246,-75.4278
2,30.3294,-81.7018
2,42.8108,-71.5627
2,33.8027,-84.5118
2,37.2223,-82.0363
2,33.8862,-84.3797
2,30.3169,-81.7054
2,38.1972,-85.7077
2,37.5147,-77.4539
2,42.2614,-83.3016
2,33.7052,-84.1698
2,39.1031,-84.512
2,33.8639,-117.727
2,36.9528,-122.034
2,43.5949,-116.392
2,37.9341,-122.366
2,34.3629,-89.8914
2,39.293,-76.6215
2,40.0397,-75.1434
2,42.9162,-78.849
2,40.9122,-74.6539
2,34.5099,-93.0103
2,34.5099,-93.0103
2,37.2837,-121.836
2,43.0333,-83.7044
2,34.8027,-76.4594
2,40.7938,-81.3961
2,40.0813,-79.8582
2,37.2827,-121.837
2,38.6531,-90.2335
2,27.6502,-97.3881
2,31.6061,-89.8041
2,30.2852,-85.6524
2,43.9683,-88.9509
2,32.5806,-97.1338
2,33.9067,-118.267
2,37.2891,-93.4296
2,40.6284,-73.972
2,26.1608,-80.2564
2,39.0512,-77.2441
2,34.716,-77.2305
