STNAME,CTYNAME,POPESTIMATE2015
California,Mono County,14043
California,Monterey County,431241
California,Napa County,141096
California,Nevada County,98709
California,Orange County,3153962
California,Placer County,373058
California,Plumas County,18516
California,Riverside County,2347921
California,Sacramento County,1494294
California,San Benito County,58243
California,San Bernardino County,2117311
California,San Diego County,3284061
California,San Francisco County,863836
California,San Joaquin County,721929
California,San Luis Obispo County,280171
California,San Mateo County,765447
California,Santa Barbara County,442522
California,Santa Clara County,1917481
California,Santa Cruz County,273730
California,Shasta County,178361
California,Sierra County,2996
California,Siskiyou County,43336
California,Solano County,433708
California,Sonoma County,501346
California,Stanislaus County,533534
California,Sutter County,95388
California,Tehama County,63090
California,Trinity County,13094
California,Tulare County,457803
California,Tuolumne County,53550
California,Ventura County,846922
California,Yolo County,212053
California,Yuba County,74083
Colorado,Colorado,5452107
Colorado,Adams County,490768
Colorado,Alamosa County,16314
Colorado,Arapahoe County,630637
Colorado,Archuleta County,12393
Colorado,Baca County,3553
Colorado,Bent County,5879
Colorado,Boulder County,319175
Colorado,Broomfield County,64856
Colorado,Chaffee County,18600
Colorado,Cheyenne County,1827
Colorado,Clear Creek County,9237
Colorado,Conejos County,8069
Colorado,Costilla County,3577
Colorado,Crowley County,5622
Colorado,Custer County,4438
Colorado,Delta County,29919
Colorado,Denver County,683665
Colorado,Dolores County,1981
Colorado,Douglas County,321964
Colorado,Eagle County,53896
Colorado,Elbert County,24621
Colorado,El Paso County,674156
Colorado,Fremont County,46267
Colorado,Garfield County,57760
Colorado,Gilpin County,5807
Colorado,Grand County,14721
Colorado,Gunnison County,16178
Colorado,Hinsdale County,764
Colorado,Huerfano County,6407
Colorado,Jackson County,1352
Colorado,Jefferson County,565223
Colorado,Kiowa County,1384
Colorado,Kit Carson County,8215
Colorado,Lake County,7442
Colorado,La Plata County,54609
Colorado,Larimer County,333309
Colorado,Las Animas County,14043
Colorado,Lincoln County,5545
Colorado,Logan County,21771
Colorado,Mesa County,148227
Colorado,Mineral County,744
Colorado,Moffat County,12938
Colorado,Montezuma County,25722
Colorado,Montrose County,40576
Colorado,Morgan County,28237
Colorado,Otero County,18210
Colorado,Ouray County,4607
Colorado,Park County,16736
Colorado,Phillips County,4329
Colorado,Pitkin County,17948
Colorado,Prowers County,11971
Colorado,Pueblo County,163111
Colorado,Rio Blanco County,6503
Colorado,Rio Grande County,11356
Colorado,Routt County,24422
Colorado,Saguache County,6251
Colorado,San Juan County,688
Colorado,San Miguel County,7840
Colorado,Sedgwick County,2375
Colorado,Summit County,30126
Colorado,Teller County,23377
Colorado,Washington County,4786
Colorado,Weld County,285033
Colorado,Yuma County,10050
Connecticut,Connecticut,3587509
Connecticut,Fairfield County,945301
Connecticut,Hartford County,896358
