date,state_name,state_id,county_name,city_or_county,city,n_killed,n_injured,n_total
12/1/2014,Florida,FL,Orange,Orlando,Orlando,0,2,2
12/4/2014,Utah,UT,Salt Lake,Salt Lake City,Salt Lake City,1,0,1
12/5/2014,Vermont,VT,Windham,Brattleboro,Brattleboro,0,0,0
12/11/2014,Pennsylvania,PA,Westmoreland,New Kensington,New Kensington,2,0,2
12/17/2014,Minnesota,MN,Ramsey,Saint Paul,Saint Paul,2,0,2
12/20/2014,Missouri,MO,St. Louis,Ballwin,Ballwin,0,0,0
12/26/2014,Vermont,VT,Rutland,Rutland,Rutland,0,0,0
12/28/2014,Washington,WA,Pierce,Lakewood,Lakewood,0,0,0
12/29/2014,Minnesota,MN,Hennepin,Minneapolis,Minneapolis,2,0,2
12/29/2014,Maine,ME,Franklin,Farmington,Farmington,0,0,0
12/29/2014,New York,NY,Monroe,Rochester,Rochester,0,0,0
1/1/2015,Georgia,GA,Fulton,Atlanta,Atlanta,0,0,0
1/2/2015,Oregon,OR,Washington,Beaverton,Beaverton,1,0,1
1/3/2015,Washington,WA,King,Vashon,Vashon,0,0,0
1/4/2015,Missouri,MO,St. Louis (city),Saint Louis,Saint Louis,0,0,0
1/7/2015,Illinois,IL,Cook,Des Plaines,Des Plaines,1,0,1
1/9/2015,Colorado,CO,Pueblo,Pueblo,Pueblo,0,0,0
1/11/2015,New York,NY,Albany,Albany,Albany,0,0,0
1/11/2015,Florida,FL,Broward,Fort Lauderdale,Fort Lauderdale,1,1,2
1/12/2015,New Jersey,NJ,Camden,Clementon,Clementon,0,0,0
1/13/2015,Colorado,CO,Denver,Denver,Denver,0,0,0
1/13/2015,Alabama,AL,Mobile,Mobile,Mobile,1,1,2
1/15/2015,Alabama,AL,Mobile,Mobile,Mobile,2,0,2
1/15/2015,Minnesota,MN,Hennepin,Minneapolis,Minneapolis,1,0,1
1/15/2015,Florida,FL,Palm Beach,Lake Worth,Lake Worth,0,1,1
1/18/2015,New York,NY,New York,New York,New York,0,1,1
1/18/2015,Minnesota,MN,Ramsey,Saint Paul,Saint Paul,3,0,3
1/19/2015,Florida,FL,Palm Beach,Lake Worth,Lake Worth,1,0,1
