date,state,city_or_county,n_killed,n_injured,n_total,county
4/30/2014,Pennsylvania,Garfield,2,0,2,Garfield
5/2/2014,Wisconsin,Rutland,0,1,1,Rutland
5/3/2014,Tennessee,Madison,0,1,1,Madison
5/3/2014,Virginia,Henrico,0,1,1,Henrico
5/4/2014,Michigan,Highland,0,0,0,Highland
5/4/2014,Texas,Tulsa,1,0,1,Tulsa
5/6/2014,Virginia,Henrico,0,0,0,Henrico
5/6/2014,Virginia,Henrico,0,0,0,Henrico
5/6/2014,Rhode Island,Warren,0,1,1,Warren
5/7/2014,Connecticut,Oxford,1,1,2,Oxford
5/9/2014,New Jersey,Livingston,0,1,1,Livingston
5/11/2014,Kentucky,LaGrange,1,0,1,LaGrange
5/11/2014,Virginia,Henrico,0,0,0,Henrico
5/12/2014,Florida,Manatee,0,0,0,Manatee
5/14/2014,Virginia,Henrico,0,0,0,Henrico
5/16/2014,New York,Niagara,0,0,0,Niagara
5/16/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
5/16/2014,Texas,Porter,0,0,0,Porter
5/20/2014,Hawaii,Maui,1,0,1,Maui
5/22/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
5/24/2014,New Jersey,Wayne,0,1,1,Wayne
5/25/2014,Rhode Island,Bristol,0,1,1,Bristol
5/26/2014,California,Mesa,0,0,0,Mesa
5/26/2014,South Dakota,Black Hawk,0,1,1,Black Hawk
5/29/2014,Tennessee,Madison,0,0,0,Madison
6/1/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
6/2/2014,Wisconsin,Vernon,0,1,1,Vernon
6/3/2014,Virginia,Henrico,0,1,1,Henrico
6/4/2014,New Jersey,Howell,1,0,1,Howell
6/6/2014,Mississippi,Lamar,0,0,0,Lamar
6/6/2014,Massachusetts,Dorchester,1,0,1,Dorchester
6/7/2014,Virginia,Henrico,0,1,1,Henrico
6/7/2014,North Carolina,Racine,0,0,0,Racine
6/9/2014,Maine,Monroe,0,0,0,Monroe
6/13/2014,Virginia,Henrico,0,0,0,Henrico
6/17/2014,Tennessee,Madison,0,0,0,Madison
6/22/2014,Kentucky,Clearfield,1,0,1,Clearfield
6/24/2014,Tennessee,Madison,0,0,0,Madison
6/25/2014,Connecticut,Fairfield,1,0,1,Fairfield
6/25/2014,California,Westchester,2,0,2,Westchester
6/25/2014,Texas,Porter,1,0,1,Porter
6/27/2014,North Carolina,Alexander,0,0,0,Alexander
6/28/2014,Virginia,Henrico,1,2,3,Henrico
6/29/2014,Virginia,Henrico,2,0,2,Henrico
6/30/2014,Mississippi,Russell,0,0,0,Russell
7/1/2014,New York,Porter,0,0,0,Porter
7/4/2014,Texas,Harris,1,0,1,Harris
7/4/2014,Mississippi,Lamar,1,0,1,Lamar
7/4/2014,Kentucky,Graham,0,0,0,Graham
7/5/2014,Arkansas,Choctaw,2,0,2,Choctaw
7/5/2014,Florida,Levy,1,0,1,Levy
7/5/2014,Virginia,Amelia,1,0,1,Amelia
7/6/2014,Arkansas,Norfolk,0,1,1,Norfolk
7/7/2014,Florida,Volusia,0,0,0,Volusia
7/7/2014,Virginia,Henrico,0,0,0,Henrico
7/7/2014,Michigan,Berrien,2,0,2,Berrien
7/10/2014,Tennessee,Madison,0,1,1,Madison
7/10/2014,Georgia,Muscogee,0,0,0,Muscogee
7/13/2014,North Carolina,Rowan,1,0,1,Rowan
7/14/2014,Virginia,Henrico,0,1,1,Henrico
7/15/2014,Michigan,Macomb,0,0,0,Macomb
7/15/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
7/15/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
7/16/2014,Florida,Hillsborough,1,0,1,Hillsborough
7/17/2014,New York,Amherst,0,0,0,Amherst
7/17/2014,Maine,Bristol,0,0,0,Bristol
7/20/2014,Virginia,Henrico,1,0,1,Henrico
7/20/2014,Rhode Island,Johnston,0,0,0,Johnston
7/20/2014,Virginia,Henrico,0,0,0,Henrico
7/20/2014,Virginia,Henrico,0,1,1,Henrico
7/21/2014,New Jersey,Greenville,0,1,1,Greenville
7/22/2014,Vermont,Montgomery,0,0,0,Montgomery
7/23/2014,Maryland,Hanover,0,0,0,Hanover
7/23/2014,Virginia,Henrico,0,0,0,Henrico
7/24/2014,Connecticut,Columbia,0,0,0,Columbia
7/26/2014,New York,Amherst,0,0,0,Amherst
7/26/2014,Maine,York,0,0,0,York
7/27/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
7/27/2014,Virginia,Henrico,0,1,1,Henrico
7/27/2014,Maine,York,1,0,1,York
7/27/2014,Kentucky,Stone,1,2,3,Stone
7/28/2014,Florida,Florida,0,0,0,Florida
7/28/2014,South Carolina,Litchfield,0,1,1,Litchfield
7/28/2014,Virginia,Henrico,0,0,0,Henrico
7/29/2014,Tennessee,Madison,0,1,1,Madison
7/29/2014,Virginia,Henrico,0,0,0,Henrico
7/29/2014,Virginia,Henrico,0,1,1,Henrico
7/29/2014,Massachusetts,Rockland,0,0,0,Rockland
7/31/2014,Virginia,Henrico,0,0,0,Henrico
7/31/2014,Kentucky,Gray,0,1,1,Gray
7/31/2014,West Virginia,Rock,0,1,1,Rock
7/31/2014,Tennessee,Raleigh,0,0,0,Raleigh
8/2/2014,Florida,Florida,0,1,1,Florida
8/3/2014,Florida,Arlington,0,1,1,Arlington
8/3/2014,Rhode Island,Johnston,0,0,0,Johnston
8/3/2014,Georgia,Midland,0,0,0,Midland
8/4/2014,Virginia,Henrico,0,1,1,Henrico
8/4/2014,Tennessee,Raleigh,0,1,1,Raleigh
8/5/2014,Florida,Miami-Dade,3,0,3,Miami-Dade
8/7/2014,Maryland,Hanover,1,0,1,Hanover
8/7/2014,Virginia,Henrico,0,0,0,Henrico
8/8/2014,New Jersey,Stafford,0,0,0,Stafford
8/8/2014,New Jersey,Stafford,0,0,0,Stafford
8/10/2014,Tennessee,Madison,0,1,1,Madison
8/10/2014,Wisconsin,Dunn,0,0,0,Dunn
8/11/2014,Rhode Island,Lincoln,0,0,0,Lincoln
8/11/2014,Virginia,Henrico,1,0,1,Henrico
8/12/2014,New Jersey,Lawrence,0,0,0,Lawrence
8/12/2014,Mississippi,Choctaw,1,1,2,Choctaw
8/14/2014,Virginia,Henrico,0,1,1,Henrico
8/14/2014,Maryland,Hanover,0,0,0,Hanover
8/15/2014,New Jersey,Orange,0,1,1,Orange
8/16/2014,New Jersey,Orange,0,0,0,Orange
8/16/2014,Vermont,Guilford,0,1,1,Guilford
8/16/2014,Delaware,Lincoln,0,1,1,Lincoln
8/19/2014,New Jersey,Orange,0,1,1,Orange
8/19/2014,Tennessee,Madison,0,0,0,Madison
8/19/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
8/22/2014,New York,Amherst,0,0,0,Amherst
8/22/2014,Connecticut,Fairfield,0,0,0,Fairfield
8/24/2014,Tennessee,Madison,0,0,0,Madison
8/29/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
8/29/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
8/29/2014,New York,York,0,0,0,York
8/29/2014,Virginia,Henrico,0,0,0,Henrico
9/1/2014,New Jersey,Howell,0,1,1,Howell
9/1/2014,Virginia,Dinwiddie,0,1,1,Dinwiddie
9/1/2014,New Jersey,Howell,0,0,0,Howell
9/2/2014,New Hampshire,Fremont,0,0,0,Fremont
9/3/2014,Connecticut,Cheshire,0,0,0,Cheshire
9/4/2014,Florida,Santa Rosa,0,1,1,Santa Rosa
9/5/2014,North Carolina,Charleston,0,0,0,Charleston
9/5/2014,Kentucky,Walker,1,0,1,Walker
9/5/2014,New Hampshire,Salem,0,0,0,Salem
9/6/2014,New Jersey,Union,0,1,1,Union
9/6/2014,Tennessee,Madison,0,0,0,Madison
9/8/2014,New Hampshire,Bedford,0,0,0,Bedford
9/8/2014,Virginia,Henrico,0,0,0,Henrico
9/8/2014,New York,Onondaga,0,1,1,Onondaga
9/8/2014,Maryland,Hanover,0,0,0,Hanover
9/9/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
9/10/2014,Florida,Miami-Dade,0,1,1,Miami-Dade
9/10/2014,Tennessee,Madison,0,0,0,Madison
9/11/2014,California,Valencia,0,0,0,Valencia
9/11/2014,Maine,Warren,0,0,0,Warren
9/11/2014,Florida,Santa Rosa,0,0,0,Santa Rosa
9/11/2014,California,Valencia,0,0,0,Valencia
9/12/2014,Florida,San Mateo,0,0,0,San Mateo
9/13/2014,Wisconsin,Eaton,2,0,2,Eaton
9/15/2014,Virginia,York,0,0,0,York
9/16/2014,Virginia,Henrico,0,0,0,Henrico
9/18/2014,Virginia,Henrico,0,1,1,Henrico
9/19/2014,Maine,Bristol,0,0,0,Bristol
9/21/2014,Virginia,Henrico,1,0,1,Henrico
9/21/2014,Vermont,Orange,0,0,0,Orange
9/23/2014,Delaware,Lincoln,0,0,0,Lincoln
9/23/2014,Connecticut,Vernon,0,0,0,Vernon
9/23/2014,New York,Rush,1,0,1,Rush
9/26/2014,Maine,Athens,0,0,0,Athens
9/27/2014,Maine,Chester,1,0,1,Chester
9/29/2014,Maryland,Hampden,0,0,0,Hampden
9/30/2014,Virginia,Henrico,0,0,0,Henrico
