,date,state,city_or_county,n_killed,n_injured,n_total,county
6137,12/22/2017,West Virginia,Dry Creek,0,1,1,
4439,9/17/2016,West Virginia,Dryfork,2,0,2,
3025,8/2/2015,New Hampshire,Dublin,0,0,0,
2307,2/17/2015,West Virginia,Duck,0,1,1,
2260,2/5/2015,North Carolina,Dudley,1,1,2,
3227,9/30/2015,North Carolina,Dudley,1,0,1,
3573,1/2/2016,North Carolina,Dudley,1,0,1,
3595,1/9/2016,North Carolina,Dudley,1,1,2,
3672,1/30/2016,Massachusetts,Dudley,0,0,0,
3931,4/18/2016,North Carolina,Dudley,0,1,1,
3982,5/4/2016,North Carolina,Dudley,0,0,0,
4123,6/19/2016,Massachusetts,Dudley,0,0,0,
4374,8/29/2016,North Carolina,Dudley,0,3,3,
4826,1/6/2017,North Carolina,Dudley,0,1,1,
4940,2/3/2017,Massachusetts,Dudley,1,0,1,
5158,4/12/2017,North Carolina,Dudley,0,0,0,
5184,4/20/2017,North Carolina,Dudley,0,1,1,
5193,4/23/2017,North Carolina,Dudley,1,0,1,
5643,8/20/2017,North Carolina,Dudley,0,1,1,
5696,9/2/2017,North Carolina,Dudley,0,1,1,
5743,9/17/2017,North Carolina,Dudley,0,0,0,
5796,9/29/2017,North Carolina,Dudley,0,0,0,
5810,10/2/2017,North Carolina,Dudley,1,0,1,
6031,11/25/2017,North Carolina,Dudley,0,1,1,
6035,11/26/2017,North Carolina,Dudley,0,1,1,
6037,11/27/2017,North Carolina,Dudley,0,1,1,
6051,11/30/2017,North Carolina,Dudley,0,1,1,
6075,12/5/2017,North Carolina,Dudley,0,0,0,
6165,1/1/2018,North Carolina,Dudley,0,0,0,
6213,1/14/2018,North Carolina,Dudley,0,1,1,
6246,1/23/2018,North Carolina,Dudley,0,0,0,
3001,7/25/2015,Tennessee,Duff,0,0,0,
3006,7/26/2015,Tennessee,Duff,0,1,1,
779,6/2/2014,Virginia,Dulles,0,0,0,
869,6/22/2014,Virginia,Dulles,0,0,0,
1710,10/21/2014,Virginia,Dulles,0,0,0,
1869,11/14/2014,Virginia,Dulles,0,0,0,
1887,11/17/2014,Virginia,Dulles,0,0,0,
2177,1/14/2015,Virginia,Dulles,0,0,0,
2286,2/12/2015,Virginia,Dulles,0,0,0,
2622,4/25/2015,Virginia,Dulles,0,0,0,
2659,5/3/2015,Virginia,Dulles,0,0,0,
2728,5/17/2015,Virginia,Dulles,0,0,0,
2781,5/26/2015,Virginia,Dulles,0,0,0,
2867,6/14/2015,Virginia,Dulles,0,0,0,
2922,7/4/2015,Virginia,Dulles,0,0,0,
2969,7/16/2015,Virginia,Dulles,0,0,0,
3048,8/7/2015,Virginia,Dulles,0,0,0,
3061,8/12/2015,Virginia,Dulles,0,0,0,
3072,8/14/2015,Virginia,Dulles,0,0,0,
3096,8/21/2015,Virginia,Dulles,0,0,0,
3173,9/9/2015,Virginia,Dulles,0,0,0,
3770,3/1/2016,Virginia,Dulles,0,0,0,
3829,3/18/2016,Virginia,Dulles,0,0,0,
3830,3/18/2016,Virginia,Dulles,0,0,0,
3936,4/20/2016,Virginia,Dulles,0,0,0,
2138,1/5/2015,Vermont,Dummerston,0,0,0,
2230,1/26/2015,Vermont,Dummerston,0,0,0,
663,5/10/2014,New Hampshire,Dunbarton,0,1,1,
2385,3/8/2015,New Hampshire,Dunbarton,0,1,1,
4385,9/1/2016,New Hampshire,Dunbarton,1,0,1,
5300,5/17/2017,New Hampshire,Dunbarton,0,0,0,
5386,6/7/2017,Illinois,Dundee Township,1,0,1,
35,1/8/2014,California,Dunlap,0,0,0,
3203,9/21/2015,California,Dunlap,1,0,1,
526,4/13/2014,Massachusetts,Dunstable,0,0,0,
616,5/3/2014,Massachusetts,Dunstable,0,0,0,
6120,12/18/2017,Washington,Dupont,0,0,0,
1277,8/18/2014,Vermont,Duxbury,1,0,1,
224,2/6/2014,Oregon,Eagle Creek,1,0,1,
895,6/27/2014,Oregon,Eagle Creek,0,4,4,
1992,12/9/2014,Oregon,Eagle Creek,1,0,1,
274,2/17/2014,North Carolina,Eagle Springs,0,0,0,
4236,7/21/2016,North Carolina,Eagle Springs,1,0,1,
5761,9/21/2017,Pennsylvania,Earl Township,0,0,0,
641,5/6/2014,Virginia,Earlysville,0,1,1,
178,1/30/2014,New York,East Amherst,0,0,0,
234,2/8/2014,Texas,East Arlington,0,1,1,
1996,12/9/2014,Maryland,East Arlington,0,1,1,
3482,12/6/2015,New York,East Bethany,0,0,0,
1128,7/29/2014,Massachusetts,East Bridgewater,0,1,1,
3648,1/24/2016,Massachusetts,East Bridgewater,0,0,0,
5440,6/21/2017,Massachusetts,East Bridgewater,0,0,0,
835,6/13/2014,New Jersey,East Brunswick,0,0,0,
3756,2/27/2016,New Jersey,East Brunswick,0,0,0,
4017,5/17/2016,New Jersey,East Brunswick,0,0,0,
4549,10/19/2016,New Jersey,East Brunswick,0,0,0,
5821,10/4/2017,New Jersey,East Brunswick,0,0,0,
5834,10/6/2017,Pennsylvania,East Donegal Township,0,0,0,
2916,7/2/2015,New York,East Elmhurst,0,0,0,
4418,9/12/2016,New York,East Elmhurst,0,0,0,
4425,9/13/2016,New York,East Elmhurst,0,0,0,
324,3/1/2014,Louisiana,East Feliciana Parish,0,1,1,
1882,11/15/2014,New York,East Fishkill,0,1,1,
4469,9/27/2016,Connecticut,East Granby,0,0,0,
5128,4/2/2017,Connecticut,East Granby,0,0,0,
3049,8/8/2015,Rhode Island,East Greenwich,0,0,0,
5332,5/26/2017,Rhode Island,East Greenwich,0,0,0,
5574,8/3/2017,Rhode Island,East Greenwich,0,0,0,
4712,12/3/2016,New Hampshire,East Kingston,0,0,0,
5688,8/30/2017,New Hampshire,East Kingston,0,0,0,
1188,8/5/2014,Pennsylvania,East Lampeter,0,2,2,
1733,10/25/2014,Pennsylvania,East Liberty,0,1,1,
1092,7/24/2014,Massachusetts,East Longmeadow,0,0,0,
4601,11/4/2016,Massachusetts,East Longmeadow,0,1,1,
5024,2/26/2017,Massachusetts,East Longmeadow,0,0,0,
6348,2/20/2018,Massachusetts,East Longmeadow,0,0,0,
4234,7/21/2016,Connecticut,East Lyme,0,0,0,
5121,3/30/2017,Connecticut,East Lyme,0,0,0,
1851,11/11/2014,Utah,East Millcreek,2,0,2,
600,4/30/2014,Pennsylvania,East Norriton,0,1,1,
1702,10/20/2014,Pennsylvania,East Norriton,0,0,0,
1216,8/9/2014,Pennsylvania,East Pennsboro,0,0,0,
83,1/14/2014,Ohio,East Price Hill,0,2,2,
4936,2/3/2017,Pennsylvania,East Springfield,1,0,1,
5586,8/6/2017,Pennsylvania,East Springfield,0,0,0,
494,4/6/2014,Illinois,East St. Louis,1,0,1,
712,5/19/2014,Illinois,East St. Louis,1,0,1,
778,6/2/2014,Illinois,East St. Louis,1,0,1,
780,6/2/2014,Illinois,East St. Louis,0,1,1,
814,6/9/2014,Illinois,East St. Louis,1,0,1,
847,6/17/2014,Illinois,East St. Louis,1,1,2,
868,6/22/2014,Illinois,East St. Louis,0,1,1,
1200,8/6/2014,Illinois,East St. Louis,0,2,2,
1288,8/20/2014,Illinois,East St. Louis,1,0,1,
1424,9/10/2014,Illinois,East St. Louis,0,0,0,
1682,10/17/2014,Illinois,East St. Louis,1,0,1,
1755,10/28/2014,Illinois,East St. Louis,1,0,1,
1783,11/2/2014,Illinois,East St. Louis,1,0,1,
1844,11/10/2014,Illinois,East St. Louis,1,0,1,
1953,11/29/2014,Illinois,East St. Louis,1,0,1,
1960,11/30/2014,Illinois,East St. Louis,1,0,1,
2092,12/26/2014,Illinois,East St. Louis,1,3,4,
2142,1/5/2015,Illinois,East St. Louis,1,0,1,
3850,3/23/2016,Massachusetts,East Taunton,1,0,1,
2097,12/27/2014,Vermont,East Wallingford,0,0,0,
3218,9/25/2015,Massachusetts,East Wareham,0,0,0,
138,1/24/2014,Connecticut,East Windsor,0,0,0,
193,1/31/2014,New Jersey,East Windsor,0,0,0,
1005,7/12/2014,Connecticut,East Windsor,0,1,1,
1069,7/21/2014,Connecticut,East Windsor,0,0,0,
1201,8/7/2014,Connecticut,East Windsor,0,0,0,
1678,10/16/2014,Connecticut,East Windsor,0,0,0,
2323,2/21/2015,Connecticut,East Windsor,0,0,0,
2473,3/28/2015,Connecticut,East Windsor,0,0,0,
2494,3/31/2015,Connecticut,East Windsor,0,0,0,
4192,7/7/2016,Connecticut,East Windsor,0,2,2,
4241,7/22/2016,Connecticut,East Windsor,0,0,0,
4782,12/25/2016,Connecticut,East Windsor,0,0,0,
4968,2/10/2017,Connecticut,East Windsor,0,0,0,
5755,9/19/2017,Connecticut,East Windsor,0,0,0,
4005,5/12/2016,Alabama,Eastaboga,0,0,0,
4050,5/28/2016,Alabama,Eastaboga,1,0,1,
2190,1/15/2015,Maine,Eastbrook,0,0,0,
4761,12/19/2016,Connecticut,Eastford,0,0,0,
6275,1/30/2018,Massachusetts,Eastham,0,1,1,
164,1/28/2014,Massachusetts,Easton,0,0,0,
1949,11/28/2014,Maine,Easton,0,0,0,
2637,4/28/2015,Massachusetts,Easton,0,1,1,
3047,8/6/2015,Massachusetts,Easton,0,0,0,
3119,8/25/2015,Massachusetts,Easton,0,1,1,
3484,12/6/2015,Massachusetts,Easton,0,1,1,
3704,2/10/2016,Massachusetts,Easton,0,1,1,
3803,3/9/2016,Massachusetts,Easton,0,0,0,
3889,4/4/2016,Massachusetts,Easton,0,0,0,
3905,4/10/2016,Connecticut,Easton,0,1,1,
4182,7/5/2016,Massachusetts,Easton,0,0,0,
4620,11/8/2016,Massachusetts,Easton,1,0,1,
5116,3/29/2017,Massachusetts,Easton,0,0,0,
5200,4/25/2017,Connecticut,Easton,0,0,0,
5237,5/4/2017,Massachusetts,Easton,0,0,0,
5418,6/15/2017,Massachusetts,Easton,0,0,0,
5859,10/11/2017,Massachusetts,Easton,0,1,1,
6143,12/25/2017,Massachusetts,Easton,0,1,1,
6450,3/21/2018,Connecticut,Easton,0,0,0,
6014,11/19/2017,Kentucky,Eastview,0,1,1,
6371,2/28/2018,Kentucky,Eastview,0,1,1,
4097,6/12/2016,Maine,Eddington,0,1,1,
1897,11/18/2014,Vermont,Eden,0,0,0,
2263,2/7/2015,Georgia,Eden,0,0,0,
3392,11/13/2015,Georgia,Eden,1,1,2,
3578,1/3/2016,Arizona,Eden,0,1,1,
5854,10/10/2017,Georgia,Eden,0,1,1,
5978,11/11/2017,Vermont,Eden,0,1,1,
5165,4/14/2017,Maine,Edgecomb,0,0,0,
2810,5/31/2015,Wisconsin,Edgewater,2,0,2,
1956,11/29/2014,New York,Edinburg,0,0,0,
849,6/17/2014,New Jersey,Edison,0,0,0,
1732,10/24/2014,New Jersey,Edison,0,0,0,
1965,12/1/2014,New Jersey,Edison,0,0,0,
3424,11/21/2015,New Jersey,Edison,0,0,0,
3703,2/9/2016,New Jersey,Edison,0,0,0,
4132,6/21/2016,New Jersey,Edison,0,1,1,
4844,1/10/2017,New Jersey,Edison,0,0,0,
5915,10/26/2017,New Jersey,Edison,0,2,2,
5923,10/27/2017,New Jersey,Edison,0,2,2,
730,5/24/2014,New Jersey,Egg Harbor Township,2,0,2,
770,5/31/2014,New Jersey,Egg Harbor Township,0,3,3,
1058,7/20/2014,New Jersey,Egg Harbor Township,0,0,0,
1618,10/8/2014,New Jersey,Egg Harbor Township,0,0,0,
1784,11/2/2014,New Jersey,Egg Harbor Township,0,1,1,
2595,4/20/2015,New Jersey,Egg Harbor Township,0,0,0,
3120,8/26/2015,New Jersey,Egg Harbor Township,0,0,0,
4231,7/20/2016,New Jersey,Egg Harbor Township,0,0,0,
5060,3/11/2017,New Jersey,Egg Harbor Township,0,0,0,
5412,6/13/2017,New Jersey,Egg Harbor Township,0,0,0,
5797,9/30/2017,New Jersey,Egg Harbor Township,0,0,0,
6259,1/26/2018,New Jersey,Egg Harbor Township,1,0,1,
1877,11/15/2014,Florida,Eglin Afb,0,0,0,
1985,12/8/2014,Florida,Eglin Afb,0,0,0,
2271,2/9/2015,Florida,Eglin Afb,0,0,0,
2395,3/10/2015,Florida,Eglin Afb,0,0,0,
3861,3/25/2016,Florida,Eglin Afb,0,0,0,
4325,8/15/2016,Florida,Eglin Afb,0,0,0,
2976,7/17/2015,Tennessee,Eidson,0,0,0,
4004,5/12/2016,Tennessee,Eidson,0,0,0,
6022,11/24/2017,Tennessee,Eidson,1,0,1,
4158,6/30/2016,Alabama,Eight Mile,1,0,1,
4922,1/30/2017,Alabama,Eight Mile,0,0,0,
5254,5/9/2017,Alabama,Eight Mile,0,0,0,
5674,8/28/2017,Alabama,Eight Mile,0,0,0,
6116,12/17/2017,Alabama,Eight Mile,0,1,1,
4207,7/12/2016,Alaska,Ekuk,1,0,1,
3863,3/26/2016,New Mexico,El Prado,0,0,0,
974,7/7/2014,Utah,Elberta,0,0,0,
6092,12/11/2017,Utah,Elberta,0,0,0,
2692,5/10/2015,Maine,Eliot,0,0,0,
1896,11/18/2014,Arkansas,Elizabeth,0,0,0,
6063,12/3/2017,New York,Elizaville,0,0,0,
4797,12/30/2016,Florida,Elkton,0,0,0,
1102,7/26/2014,New York,Ellenburg,2,0,2,
3217,9/25/2015,New York,Ellenburg,0,1,1,
3534,12/23/2015,Connecticut,Ellington,1,0,1,
6005,11/18/2017,Connecticut,Ellington,0,0,0,
4200,7/11/2016,Pennsylvania,Elliottsburg,0,0,0,
4571,10/26/2016,New York,Elma,0,1,1,
4617,11/6/2016,New York,Elma,1,0,1,
3402,11/16/2015,New York,Elmhurst,0,1,1,
3902,4/10/2016,New York,Elmhurst,0,0,0,
5526,7/19/2017,New York,Elmhurst,0,2,2,
4023,5/19/2016,Kentucky,Emmalena,1,0,1,
1648,10/12/2014,Michigan,Emmett Township,0,1,1,
4605,11/5/2016,Alabama,Empire,1,0,1,
40,1/8/2014,California,Encino,0,1,1,
2824,6/3/2015,California,Encino,0,1,1,
417,3/22/2014,Connecticut,Enfield,0,0,0,
426,3/23/2014,Connecticut,Enfield,0,0,0,
710,5/19/2014,Connecticut,Enfield,0,0,0,
711,5/19/2014,Connecticut,Enfield,0,0,0,
743,5/25/2014,Connecticut,Enfield,0,0,0,
1371,9/3/2014,Connecticut,Enfield,1,0,1,
2693,5/10/2015,New York,Enfield,0,0,0,
3456,11/30/2015,Connecticut,Enfield,0,0,0,
3952,4/24/2016,Connecticut,Enfield,0,0,0,
4535,10/15/2016,Connecticut,Enfield,0,1,1,
4586,10/31/2016,Connecticut,Enfield,0,0,0,
136,1/23/2014,Texas,Engle,1,0,1,
217,2/4/2014,Florida,Englewood ,0,0,0,
1124,7/29/2014,Alabama,Ensley,1,2,3,
1328,8/28/2014,Alabama,Ensley,0,1,1,
2801,5/29/2015,Alabama,Ensley,1,0,1,
5724,9/12/2017,New Hampshire,Epsom,0,0,0,
4261,7/27/2016,Massachusetts,Erving,0,0,0,
5750,9/18/2017,West Virginia,Eskdale,0,0,0,
6288,2/2/2018,West Virginia,Eskdale,1,0,1,
3565,1/1/2016,New York,Esopus,0,0,0,
5707,9/6/2017,New York,Esopus,0,0,0,
1785,11/2/2014,New Mexico,Española,0,0,0,
987,7/9/2014,Florida,Estero ,1,1,2,
284,2/21/2014,Michigan,Eureka Township,0,0,0,
507,4/9/2014,Michigan,Eureka Township,0,0,0,
798,6/5/2014,Ohio,Evanston,0,1,1,
1329,8/28/2014,Ohio,Evanston,0,0,0,
2829,6/5/2015,Ohio,Evanston,0,0,0,
5609,8/11/2017,Indiana,Evanston,0,1,1,
786,6/3/2014,New Jersey,Evesham Township,0,0,0,
757,5/28/2014,New Jersey,Ewing,0,0,0,
1567,9/30/2014,New Jersey,Ewing,0,1,1,
1860,11/12/2014,New Jersey,Ewing,0,0,0,
2143,1/5/2015,New Jersey,Ewing,0,1,1,
1854,11/11/2014,New Jersey,Ewing Township,0,0,0,
2487,3/31/2015,Rhode Island,Exeter,0,0,0,
3953,4/24/2016,Rhode Island,Exeter,0,0,0,
6312,2/10/2018,Rhode Island,Exeter,0,0,0,
5495,7/11/2017,West Virginia,Fairdale,0,0,0,
5811,10/2/2017,West Virginia,Fairdale,0,0,0,
1476,9/15/2014,Massachusetts,Fairhaven,0,0,0,
3899,4/8/2016,Massachusetts,Fairhaven,0,0,0,
4662,11/20/2016,Massachusetts,Fairhaven,0,0,0,
4864,1/17/2017,Massachusetts,Fairhaven,0,0,0,
985,7/9/2014,Alaska,Fairview,0,0,0,
4650,11/16/2016,Kentucky,Falls Of Rough,0,0,0,
1973,12/3/2014,New York,Fallsburg,0,0,0,
2122,1/1/2015,New York,Fallsburg,0,0,0,
3691,2/4/2016,New York,Fallsburg,1,0,1,
2883,6/20/2015,New York,Far Rockaway,0,1,1,
2885,6/21/2015,New York,Far Rockaway,0,1,1,
2886,6/21/2015,New York,Far Rockaway,0,1,1,
2891,6/22/2015,New York,Far Rockaway,0,1,1,
2949,7/11/2015,New York,Far Rockaway,0,1,1,
3026,8/2/2015,New York,Far Rockaway,0,0,0,
3140,8/30/2015,New York,Far Rockaway,1,0,1,
3176,9/11/2015,New York,Far Rockaway,1,0,1,
3468,12/3/2015,New York,Far Rockaway,0,0,0,
3663,1/27/2016,New York,Far Rockaway,1,1,2,
3800,3/8/2016,New York,Far Rockaway,0,0,0,
3828,3/17/2016,New York,Far Rockaway,0,0,0,
3834,3/18/2016,New York,Far Rockaway,0,0,0,
3911,4/12/2016,New York,Far Rockaway,0,1,1,
4076,6/6/2016,New York,Far Rockaway,0,0,0,
4143,6/25/2016,New York,Far Rockaway,0,0,0,
4170,7/3/2016,New York,Far Rockaway,0,1,1,
4680,11/25/2016,New York,Far Rockaway,0,1,1,
5056,3/11/2017,New York,Far Rockaway,0,1,1,
5189,4/22/2017,New York,Far Rockaway,1,0,1,
6211,1/13/2018,New York,Far Rockaway,1,0,1,
3640,1/22/2016,Ohio,Farmdale,1,0,1,
535,4/14/2014,Connecticut,Farmington,0,0,0,
929,7/2/2014,New York,Farmington,0,1,1,
954,7/5/2014,Connecticut,Farmington,0,0,0,
3988,5/6/2016,Connecticut,Farmington,0,0,0,
4096,6/12/2016,Connecticut,Farmington,0,3,3,
5111,3/28/2017,Connecticut,Farmington,0,0,0,
6421,3/14/2018,Connecticut,Farmington,0,0,0,
1731,10/24/2014,North Carolina,Fayetteville ,0,0,0,
1741,10/26/2014,North Carolina,Fayetteville ,0,0,0,
1744,10/27/2014,North Carolina,Fayetteville ,0,0,0,
1757,10/29/2014,North Carolina,Fayetteville ,0,0,0,
5575,8/3/2017,Pennsylvania,Feasterville Trevose,0,0,0,
502,4/8/2014,Pennsylvania,Feltonville,0,1,1,
5435,6/19/2017,Michigan,Fenwick,2,0,2,
674,5/12/2014,Vermont,Ferrisburgh,0,0,0,
1608,10/5/2014,Vermont,Ferrisburgh,0,0,0,
2145,1/6/2015,Vermont,Ferrisburgh,0,0,0,
3687,2/3/2016,Vermont,Ferrisburgh,0,0,0,
4806,12/31/2016,Tennessee,Finley,0,1,1,
458,3/29/2014,South Carolina,Five Points,0,1,1,
126,1/21/2014,Montana,Flathead Reservation,0,0,0,
1639,10/11/2014,North Carolina,Fleetwood,0,1,1,
85,1/14/2014,Florida,Fleming Island,0,0,0,
5293,5/16/2017,Florida,Fleming Island,0,0,0,
5272,5/12/2017,Georgia,Flintstone,0,0,0,
5417,6/15/2017,Georgia,Flintstone,0,0,0,
988,7/9/2014,Alabama,Florence ,0,0,0,
1267,8/17/2014,Alabama,Florence ,0,0,0,
481,4/4/2014,Texas,Flour Bluff,1,0,1,
1462,9/14/2014,Texas,Flour Bluff,3,1,4,
3399,11/15/2015,Indiana,Floyds Knobs,0,0,0,
4607,11/5/2016,Indiana,Floyds Knobs,1,0,1,
3235,10/3/2015,New York,Flushing,0,0,0,
3375,11/8/2015,New York,Flushing,0,1,1,
3481,12/6/2015,New York,Flushing,0,1,1,
3673,1/30/2016,New York,Flushing,0,1,1,
3702,2/8/2016,New York,Flushing,0,0,0,
3840,3/20/2016,New York,Flushing,0,1,1,
4049,5/28/2016,New York,Flushing,0,1,1,
4100,6/13/2016,New York,Flushing,1,0,1,
4204,7/12/2016,New York,Flushing,0,0,0,
4257,7/27/2016,New York,Flushing,1,0,1,
5065,3/12/2017,New York,Flushing,0,1,1,
5104,3/25/2017,New York,Flushing,0,0,0,
5106,3/27/2017,New York,Flushing,0,0,0,
5280,5/14/2017,New York,Flushing,0,1,1,
5354,5/31/2017,New York,Flushing,1,0,1,
5372,6/4/2017,New York,Flushing,0,1,1,
5452,6/25/2017,New York,Flushing,0,2,2,
32,1/7/2014,Wisconsin,Fond Du Lac,1,0,1,
1133,7/30/2014,Wisconsin,Fond Du Lac,0,0,0,
1408,9/9/2014,Wisconsin,Fond Du Lac,0,0,0,
1559,9/28/2014,Wisconsin,Fond Du Lac,0,1,1,
1560,9/28/2014,Wisconsin,Fond Du Lac,0,0,0,
1729,10/24/2014,Wisconsin,Fond Du Lac,0,0,0,
1761,10/29/2014,Wisconsin,Fond Du Lac,0,0,0,
1816,11/6/2014,Wisconsin,Fond Du Lac,0,0,0,
1899,11/18/2014,Wisconsin,Fond Du Lac,0,0,0,
2296,2/15/2015,Wisconsin,Fond Du Lac,0,0,0,
2459,3/24/2015,Wisconsin,Fond Du Lac,2,0,2,
2888,6/21/2015,Wisconsin,Fond Du Lac,0,0,0,
3127,8/28/2015,Wisconsin,Fond Du Lac,0,0,0,
4900,1/25/2017,Wisconsin,Fond Du Lac,0,0,0,
4991,2/16/2017,Wisconsin,Fond Du Lac,0,0,0,
5262,5/10/2017,Wisconsin,Fond Du Lac,0,0,0,
5423,6/16/2017,Wisconsin,Fond Du Lac,1,0,1,
5773,9/23/2017,Wisconsin,Fond Du Lac,1,0,1,
6011,11/19/2017,Wisconsin,Fond Du Lac,0,1,1,
6319,2/12/2018,Wisconsin,Fond Du Lac,0,0,0,
6355,2/22/2018,Wisconsin,Fond Du Lac,0,0,0,
66,1/12/2014,Arkansas,Fontaine,1,0,1,
3476,12/5/2015,New York,Forest Hills,0,1,1,
4135,6/22/2016,New York,Forest Hills,0,0,0,
5472,7/4/2017,Arizona,Forest Lakes,1,0,1,
6097,12/13/2017,New York,Forestburgh,0,0,0,
3531,12/22/2015,Virginia,Fort Belvoir,0,0,0,
4268,7/29/2016,Virginia,Fort Belvoir,0,0,0,
1006,7/12/2014,Georgia,Fort Benning,1,0,1,
2796,5/28/2015,Georgia,Fort Benning,0,0,0,
1234,8/12/2014,North Dakota,Fort Berthold,0,0,0,
4862,1/16/2017,Texas,Fort Bliss,0,1,1,
2672,5/5/2015,North Carolina,Fort Bragg,1,0,1,
6033,11/25/2017,North Carolina,Fort Bragg,1,0,1,
3253,10/6/2015,Kentucky,Fort Campbell,1,0,1,
4363,8/25/2016,Kentucky,Fort Campbell,0,0,0,
1264,8/16/2014,Virginia,Fort Defiance,1,0,1,
6476,3/26/2018,New York,Fort Drum,0,1,1,
134,1/23/2014,Texas,Fort Hood,3,0,3,
469,4/2/2014,Texas,Fort Hood,4,16,20,
2273,2/9/2015,Texas,Fort Hood,0,1,1,
2813,6/1/2015,Texas,Fort Hood,1,0,1,
3843,3/20/2016,Texas,Fort Hood,1,0,1,
4075,6/6/2016,Texas,Fort Hood,1,0,1,
1969,12/1/2014,Florida,Fort Lauderdale ,1,0,1,
1312,8/25/2014,Virginia,Fort Lee,1,0,1,
3839,3/20/2016,Pennsylvania,Fort Littleton,3,0,3,
2269,2/8/2015,Florida,Fort Mc Coy,1,0,1,
6248,1/23/2018,Florida,Fort Mc Coy,0,1,1,
3998,5/9/2016,Florida,Fort McCoy,1,0,1,
1818,11/7/2014,Maryland,Fort Meade,0,0,0,
1050,7/19/2014,Arizona,Fort Mohave,1,0,1,
2068,12/21/2014,Arizona,Fort Mohave,0,1,1,
2530,4/7/2015,Arizona,Fort Mohave,1,1,2,
3852,3/24/2016,Arizona,Fort Mohave,0,1,1,
4013,5/15/2016,Arizona,Fort Mohave,0,1,1,
4269,7/30/2016,Arizona,Fort Mohave,0,0,0,
4340,8/19/2016,Arizona,Fort Mohave,2,0,2,
5548,7/26/2017,Arizona,Fort Mohave,0,0,0,
4913,1/28/2017,Virginia,Fort Myer,0,0,0,
842,6/15/2014,Florida,Fort Pierce ,0,0,0,
3175,9/11/2015,Kansas,Fort Riley,1,0,1,
3334,10/28/2015,Kansas,Fort Riley,1,0,1,
218,2/4/2014,Tennessee,Fort Sanders,0,3,3,
6028,11/25/2017,Oklahoma,Fort Sill,0,1,1,
506,4/8/2014,Arkansas,Fort Smith ,0,0,0,
635,5/4/2014,Arkansas,Fort Smith ,0,0,0,
5905,10/23/2017,Georgia,Fort Stewart,0,0,0,
4416,9/12/2016,Virginia,Fort Valley,0,1,1,
5130,4/2/2017,Alaska,Fort Wainwright,0,0,0,
6122,12/18/2017,Kentucky,Fourmile,0,0,0,
5738,9/16/2017,Massachusetts,Foxboro,0,0,0,
5758,9/21/2017,Massachusetts,Foxboro,2,0,2,
5732,9/13/2017,West Virginia,Frametown,1,0,1,
1804,11/4/2014,Pennsylvania,Frankford,0,1,1,
1797,11/3/2014,Wisconsin,Frankfort,0,1,1,
1859,11/12/2014,Louisiana,Franklin Parish,0,0,0,
70,1/12/2014,New Jersey,Franklin Township,0,1,1,
864,6/20/2014,New Jersey,Franklin Township,0,0,0,
1563,9/28/2014,New Jersey,Franklin Township,0,1,1,
1233,8/12/2014,Ohio,Franklinton,1,0,1,
364,3/12/2014,Tennessee,Frayser,1,2,3,
859,6/19/2014,Tennessee,Frayser,1,0,1,
873,6/23/2014,Tennessee,Frayser,0,1,1,
963,7/7/2014,Tennessee,Frayser,0,0,0,
1012,7/13/2014,Tennessee,Frayser,0,0,0,
50,1/10/2014,New York,Freedom,0,0,0,
163,1/28/2014,New York,Freedom,0,0,0,
1241,8/13/2014,New York,Freedom,0,0,0,
2808,5/31/2015,Massachusetts,Freetown,0,0,0,
4085,6/9/2016,New York,Fresh Meadows,0,0,0,
4128,6/20/2016,New York,Fresh Meadows,0,0,0,
4579,10/29/2016,New York,Fresh Meadows,0,1,1,
5205,4/26/2017,New York,Fresh Meadows,0,0,0,
6432,3/16/2018,Maine,Friendship,0,0,0,
2652,5/1/2015,South Carolina,Fripp Island,0,0,0,
1961,11/30/2014,Michigan,Fruitport Township,0,0,0,
813,6/9/2014,California,Fruitridge,1,1,2,
940,7/4/2014,North Carolina,Fuquay Varina,0,1,1,
1051,7/19/2014,North Carolina,Fuquay Varina,2,0,2,
1814,11/6/2014,North Carolina,Fuquay Varina,1,0,1,
2368,3/4/2015,North Carolina,Fuquay Varina,0,1,1,
2895,6/23/2015,North Carolina,Fuquay Varina,1,0,1,
3570,1/2/2016,North Carolina,Fuquay Varina,1,0,1,
3789,3/6/2016,North Carolina,Fuquay Varina,0,2,2,
4115,6/19/2016,North Carolina,Fuquay Varina,0,0,0,
4301,8/11/2016,North Carolina,Fuquay Varina,0,0,0,
4633,11/11/2016,North Carolina,Fuquay Varina,2,0,2,
5214,4/28/2017,North Carolina,Fuquay Varina,0,1,1,
5251,5/8/2017,North Carolina,Fuquay Varina,1,0,1,
5253,5/8/2017,North Carolina,Fuquay Varina,1,0,1,
6359,2/23/2018,North Carolina,Fuquay Varina,0,2,2,
2308,2/17/2015,South Carolina,Gable,0,0,0,
3297,10/19/2015,Mississippi,Gafney,0,2,2,
179,1/30/2014,Ohio,Galloway,0,1,1,
463,3/31/2014,New Jersey,Galloway,0,1,1,
810,6/7/2014,Ohio,Galloway,0,0,0,
1412,9/9/2014,Ohio,Galloway,0,0,0,
1422,9/10/2014,Ohio,Galloway,0,1,1,
1809,11/6/2014,New Jersey,Galloway,0,0,0,
2155,1/9/2015,Ohio,Galloway,0,0,0,
3249,10/5/2015,Ohio,Galloway,0,1,1,
