,n_killed,latitude,longitude,output
72,3,32.5069,-94.7305,"{ lat: 32.5069, lng: -94.7305, count: 3 }"
73,3,34.524,-93.1231,"{ lat: 34.524, lng: -93.1231, count: 3 }"
74,3,35.0247,-85.3877,"{ lat: 35.0247, lng: -85.3877, count: 3 }"
75,3,32.5716,-80.8153,"{ lat: 32.5716, lng: -80.8153, count: 3 }"
76,3,32.546,-80.7123,"{ lat: 32.546, lng: -80.7123, count: 3 }"
77,3,34.294000000000004,-77.7675,"{ lat: 34.294000000000004, lng: -77.7675, count: 3 }"
78,3,34.4473,-82.995,"{ lat: 34.4473, lng: -82.995, count: 3 }"
79,3,34.4575,-83.0008,"{ lat: 34.4575, lng: -83.0008, count: 3 }"
80,3,34.089,-88.6222,"{ lat: 34.089, lng: -88.6222, count: 3 }"
81,3,29.7604,-95.3698,"{ lat: 29.7604, lng: -95.3698, count: 3 }"
82,3,33.031,-96.613,"{ lat: 33.031, lng: -96.613, count: 3 }"
83,3,34.0658,-117.28399999999999,"{ lat: 34.0658, lng: -117.28399999999999, count: 3 }"
84,3,39.8471,-86.2682,"{ lat: 39.8471, lng: -86.2682, count: 3 }"
85,3,33.684,-78.8883,"{ lat: 33.684, lng: -78.8883, count: 3 }"
86,3,27.9656,-81.9732,"{ lat: 27.9656, lng: -81.9732, count: 3 }"
87,3,32.7586,-97.3973,"{ lat: 32.7586, lng: -97.3973, count: 3 }"
88,3,41.4492,-90.1489,"{ lat: 41.4492, lng: -90.1489, count: 3 }"
89,3,37.4511,-120.84899999999999,"{ lat: 37.4511, lng: -120.84899999999999, count: 3 }"
90,3,39.8047,-86.11200000000001,"{ lat: 39.8047, lng: -86.11200000000001, count: 3 }"
91,3,36.9102,-76.2571,"{ lat: 36.9102, lng: -76.2571, count: 3 }"
92,3,37.4514,-120.84899999999999,"{ lat: 37.4514, lng: -120.84899999999999, count: 3 }"
93,3,32.5317,-92.1639,"{ lat: 32.5317, lng: -92.1639, count: 3 }"
94,3,32.7586,-97.3973,"{ lat: 32.7586, lng: -97.3973, count: 3 }"
95,3,32.7586,-97.3973,"{ lat: 32.7586, lng: -97.3973, count: 3 }"
96,3,32.6781,-97.3321,"{ lat: 32.6781, lng: -97.3321, count: 3 }"
97,3,39.6128,-77.7618,"{ lat: 39.6128, lng: -77.7618, count: 3 }"
98,3,41.7488,-87.7097,"{ lat: 41.7488, lng: -87.7097, count: 3 }"
99,3,33.6788,-112.53,"{ lat: 33.6788, lng: -112.53, count: 3 }"
100,3,33.96,-118.28299999999999,"{ lat: 33.96, lng: -118.28299999999999, count: 3 }"
101,3,41.0975,-88.4347,"{ lat: 41.0975, lng: -88.4347, count: 3 }"
102,3,40.6786,-89.5594,"{ lat: 40.6786, lng: -89.5594, count: 3 }"
103,3,28.5273,-99.8599,"{ lat: 28.5273, lng: -99.8599, count: 3 }"
104,3,37.6536,-97.2269,"{ lat: 37.6536, lng: -97.2269, count: 3 }"
