STNAME,CTYNAME,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,NPOPCHG_2014,NPOPCHG_2015,NPOPCHG_2016,NPOPCHG_2017,NPOPCHG_2018
Indiana,Hancock County,71738,72392,73728,74940,76351,774,654,1336,1212,1411
Indiana,Harrison County,39167,39524,39666,39851,40350,175,357,142,185,499
Indiana,Hendricks County,155812,157754,160369,163758,167009,2293,1942,2615,3389,3251
Indiana,Henry County,48889,48661,48348,48247,48271,42,-228,-313,-101,24
Indiana,Howard County,82602,82340,82317,82311,82366,-133,-262,-23,-6,55
Indiana,Huntington County,36610,36514,36288,36239,36240,-169,-96,-226,-49,1
Indiana,Jackson County,43703,43886,44004,43987,44111,267,183,118,-17,124
Indiana,Jasper County,33514,33487,33416,33459,33370,88,-27,-71,43,-89
Indiana,Jay County,21134,21136,21023,20907,20764,-132,2,-113,-116,-143
Indiana,Jefferson County,32403,32298,32230,32047,32208,7,-105,-68,-183,161
Indiana,Jennings County,27915,27829,27642,27638,27611,-310,-86,-187,-4,-27
Indiana,Johnson County,147103,148994,151575,153922,156225,1687,1891,2581,2347,2303
Indiana,Knox County,37961,37763,37331,37094,36895,-94,-198,-432,-237,-199
Indiana,Kosciusko County,78382,78553,78742,79010,79344,512,171,189,268,334
Indiana,LaGrange County,38435,38614,39109,39222,39330,347,179,495,113,108
Indiana,Lake County,490973,487895,486199,484766,484411,-795,-3078,-1696,-1433,-355
Indiana,LaPorte County,111737,110853,110254,109911,110007,316,-884,-599,-343,96
Indiana,Lawrence County,45648,45567,45588,45625,45668,-245,-81,21,37,43
Indiana,Madison County,129744,129383,129297,129460,129641,-556,-361,-86,163,181
Indiana,Marion County,935449,939406,944139,948952,954670,6104,3957,4733,4813,5718
Indiana,Marshall County,46929,46740,46600,46460,46248,10,-189,-140,-140,-212
Indiana,Martin County,10238,10217,10191,10186,10217,5,-21,-26,-5,31
Indiana,Miami County,36071,36001,36041,35827,35567,-94,-70,40,-214,-260
Indiana,Monroe County,143410,144220,145748,146720,146917,1344,810,1528,972,197
Indiana,Montgomery County,38144,38242,38249,38397,38346,9,98,7,148,-51
Indiana,Morgan County,69515,69565,69628,69810,70116,154,50,63,182,306
Indiana,Newton County,14086,13968,13985,14041,14011,61,-118,17,56,-30
Indiana,Noble County,47380,47531,47426,47384,47532,127,151,-105,-42,148
Indiana,Ohio County,5966,5887,5892,5845,5844,-29,-79,5,-47,-1
Indiana,Orange County,19761,19621,19460,19404,19489,-64,-140,-161,-56,85
Indiana,Owen County,21023,20830,20901,20793,20845,-134,-193,71,-108,52
Indiana,Parke County,17241,16969,16939,16903,16927,-1,-272,-30,-36,24
Indiana,Perry County,19332,19307,18977,18988,19102,-85,-25,-330,11,114
Indiana,Pike County,12500,12413,12398,12332,12410,-3,-87,-15,-66,78
Indiana,Porter County,167182,167365,167522,168544,169594,693,183,157,1022,1050
Indiana,Posey County,25596,25608,25634,25566,25540,39,12,26,-68,-26
Indiana,Pulaski County,12918,12796,12598,12518,12469,-23,-122,-198,-80,-49
Indiana,Putnam County,37673,37484,37251,37610,37779,81,-189,-233,359,169
Indiana,Randolph County,25329,25134,25110,24954,24851,-288,-195,-24,-156,-103
Indiana,Ripley County,28341,28377,28398,28485,28523,45,36,21,87,38
Indiana,Rush County,16845,16710,16642,16659,16663,-151,-135,-68,17,4
Indiana,St. Joseph County,267749,268203,269484,269994,270771,765,454,1281,510,777
Indiana,Scott County,23629,23657,23699,23853,23878,-118,28,42,154,25
Indiana,Shelby County,44374,44364,44259,44404,44593,23,-10,-105,145,189
Indiana,Spencer County,20758,20639,20491,20417,20327,-1,-119,-148,-74,-90
Indiana,Starke County,22953,22857,23015,22944,22935,-185,-96,158,-71,-9
Indiana,Steuben County,34517,34491,34354,34421,34586,120,-26,-137,67,165
Indiana,Sullivan County,20993,20870,20709,20699,20690,-144,-123,-161,-10,-9
Indiana,Switzerland County,10543,10589,10615,10674,10717,-33,46,26,59,43
Indiana,Tippecanoe County,184466,186783,190504,191670,193048,2489,2317,3721,1166,1378
Indiana,Tipton County,15406,15252,15167,15139,15128,-139,-154,-85,-28,-11
Indiana,Union County,7241,7185,7140,7162,7037,-66,-56,-45,22,-125
Indiana,Vanderburgh County,181935,181449,181306,180900,180974,354,-486,-143,-406,74
Indiana,Vermillion County,15658,15592,15586,15487,15479,-195,-66,-6,-99,-8
Indiana,Vigo County,107960,107586,107851,107681,107386,-282,-374,265,-170,-295
Indiana,Wabash County,32101,31859,31504,31410,31280,-169,-242,-355,-94,-130
Indiana,Warren County,8339,8270,8164,8198,8263,-30,-69,-106,34,65
Indiana,Warrick County,60959,61545,62066,62505,62567,106,586,521,439,62
Indiana,Washington County,27892,27779,27734,27788,27943,107,-113,-45,54,155
Indiana,Wayne County,67377,66965,66609,66178,65936,-406,-412,-356,-431,-242
Indiana,Wells County,27816,27847,27854,28014,28206,100,31,7,160,192
Indiana,White County,24436,24278,24075,24165,24133,32,-158,-203,90,-32
Indiana,Whitley County,33447,33453,33493,33777,34074,161,6,40,284,297
Iowa,Iowa,3109504,3121460,3131785,3143637,3156145,16426,11956,10325,11852,12508
Iowa,Adair County,7367,7141,6998,7053,7063,-20,-226,-143,55,10
Iowa,Adams County,3877,3753,3692,3663,3645,-15,-124,-61,-29,-18
Iowa,Allamakee County,14058,13858,13850,13804,13832,-6,-200,-8,-46,28
Iowa,Appanoose County,12671,12572,12505,12363,12437,18,-99,-67,-142,74
Iowa,Audubon County,5771,5713,5629,5566,5506,-92,-58,-84,-63,-60
Iowa,Benton County,25622,25601,25633,25633,25642,-74,-21,32,0,9
Iowa,Black Hawk County,133403,133711,133116,132409,132408,469,308,-595,-707,-1
Iowa,Boone County,26296,26453,26426,26476,26346,5,157,-27,50,-130
Iowa,Bremer County,24665,24740,24737,24822,24947,90,75,-3,85,125
Iowa,Buchanan County,21139,21115,21018,21156,21199,105,-24,-97,138,43
Iowa,Buena Vista County,20622,20381,20322,20102,19874,-41,-241,-59,-220,-228
Iowa,Butler County,14963,14886,14705,14582,14539,-17,-77,-181,-123,-43
Iowa,Calhoun County,9845,9800,9808,9749,9699,-54,-45,8,-59,-50
Iowa,Carroll County,20498,20419,20377,20273,20154,-44,-79,-42,-104,-119
Iowa,Cass County,13392,13345,13161,13126,12930,-177,-47,-184,-35,-196
Iowa,Cedar County,18328,18308,18410,18551,18627,51,-20,102,141,76
Iowa,Cerro Gordo County,43206,42983,43088,42997,42647,-321,-223,105,-91,-350
Iowa,Cherokee County,11802,11487,11402,11330,11321,-72,-315,-85,-72,-9
Iowa,Chickasaw County,12250,12149,12096,12036,11964,-22,-101,-53,-60,-72
Iowa,Clarke County,9195,9210,9250,9331,9423,-51,15,40,81,92
Iowa,Clay County,16485,16497,16296,16153,16134,45,12,-201,-143,-19
Iowa,Clayton County,17771,17727,17657,17650,17556,-24,-44,-70,-7,-94
Iowa,Clinton County,47894,47550,47228,46902,46518,-385,-344,-322,-326,-384
Iowa,Crawford County,17172,17095,17118,17119,17158,-192,-77,23,1,39
Iowa,Dallas County,77742,80618,84257,87215,90180,2790,2876,3639,2958,2965
Iowa,Davis County,8755,8776,8884,8991,9017,-12,21,108,107,26
Iowa,Decatur County,8208,8132,8045,7943,7890,-8,-76,-87,-102,-53
Iowa,Delaware County,17392,17389,17280,17158,17069,-79,-3,-109,-122,-89
Iowa,Des Moines County,40092,39860,39588,39320,39138,-298,-232,-272,-268,-182
Iowa,Dickinson County,16840,17005,17110,17173,17153,-38,165,105,63,-20
Iowa,Dubuque County,96483,96884,96782,97009,96854,541,401,-102,227,-155
Iowa,Emmet County,9819,9698,9572,9414,9253,-61,-121,-126,-158,-161
Iowa,Fayette County,20289,20139,19851,19708,19660,-232,-150,-288,-143,-48
Iowa,Floyd County,16001,15910,15857,15761,15761,-25,-91,-53,-96,0
Iowa,Franklin County,10434,10326,10183,10159,10124,-75,-108,-143,-24,-35
Iowa,Fremont County,7030,6913,6951,6952,6993,-39,-117,38,1,41
Iowa,Greene County,9123,8942,9000,8969,8981,-35,-181,58,-31,12
Iowa,Grundy County,12391,12404,12286,12322,12304,48,13,-118,36,-18
Iowa,Guthrie County,10685,10652,10646,10667,10720,14,-33,-6,21,53
Iowa,Hamilton County,15215,15223,15093,15069,14952,-127,8,-130,-24,-117
Iowa,Hancock County,11041,11028,10887,10773,10712,-90,-13,-141,-114,-61
Iowa,Hardin County,17331,17256,17173,17007,16868,-57,-75,-83,-166,-139
Iowa,Harrison County,14266,14140,14048,14129,14134,-91,-126,-92,81,5
Iowa,Henry County,19832,19844,19829,20060,20067,-190,12,-15,231,7
Iowa,Howard County,9351,9312,9253,9219,9187,-88,-39,-59,-34,-32
Iowa,Humboldt County,9635,9550,9519,9578,9547,-41,-85,-31,59,-31
Iowa,Ida County,6970,6961,6954,6856,6841,-103,-9,-7,-98,-15
Iowa,Iowa County,16314,16278,16185,16118,16141,35,-36,-93,-67,23
Iowa,Jackson County,19427,19362,19387,19368,19432,-87,-65,25,-19,64
Iowa,Jasper County,36882,36740,36703,36985,37147,153,-142,-37,282,162
Iowa,Jefferson County,17792,17916,18064,18233,18381,163,124,148,169,148
Iowa,Johnson County,142745,144931,146858,149213,151260,2585,2186,1927,2355,2047
Iowa,Jones County,20542,20444,20424,20684,20744,25,-98,-20,260,60
Iowa,Keokuk County,10285,10172,10168,10149,10225,-54,-113,-4,-19,76
Iowa,Kossuth County,15227,15159,15110,14970,14908,-106,-68,-49,-140,-62
Iowa,Lee County,35056,34893,34459,34243,34055,-180,-163,-434,-216,-188
Iowa,Linn County,218125,220211,222081,224277,225909,1645,2086,1870,2196,1632
Iowa,Louisa County,11254,11279,11212,11203,11169,-95,25,-67,-9,-34
Iowa,Lucas County,8633,8607,8552,8550,8645,-62,-26,-55,-2,95
Iowa,Lyon County,11703,11751,11781,11797,11811,7,48,30,16,14
Iowa,Madison County,15615,15731,15824,16030,16249,133,116,93,206,219
Iowa,Mahaska County,22365,22308,22172,22197,22000,-57,-57,-136,25,-197
Iowa,Marion County,33270,33111,33143,33105,33407,258,-159,32,-38,302
Iowa,Marshall County,40735,40364,40129,40148,39981,-272,-371,-235,19,-167
Iowa,Mills County,14761,14875,15035,15053,15063,-146,114,160,18,10
Iowa,Mitchell County,10698,10675,10642,10570,10569,31,-23,-33,-72,-1
Iowa,Monona County,8899,8868,8790,8746,8679,-133,-31,-78,-44,-67
Iowa,Monroe County,7958,7922,7831,7815,7790,-21,-36,-91,-16,-25
Iowa,Montgomery County,10382,10151,10128,10111,10003,-22,-231,-23,-17,-108
Iowa,Muscatine County,42982,43020,42925,42892,42929,22,38,-95,-33,37
Iowa,O'Brien County,14043,13926,13933,13812,13840,-3,-117,7,-121,28
Iowa,Osceola County,6231,6163,6100,6039,6040,-5,-68,-63,-61,1
Iowa,Page County,15483,15471,15349,15263,15249,-33,-12,-122,-86,-14
Iowa,Palo Alto County,9121,9137,9028,9059,8929,-45,16,-109,31,-130
Iowa,Plymouth County,24912,24903,25192,25091,25095,-20,-9,289,-101,4
Iowa,Pocahontas County,7097,6964,6849,6840,6740,-15,-133,-115,-9,-100
Iowa,Polk County,460977,467526,474579,481086,487204,8290,6549,7053,6507,6118
Iowa,Pottawattamie County,93274,93608,93592,93510,93533,410,334,-16,-82,23
Iowa,Poweshiek County,18606,18614,18543,18563,18699,1,8,-71,20,136
Iowa,Ringgold County,4961,4976,4985,5029,4968,-10,15,9,44,-61
Iowa,Sac County,10046,9965,9812,9796,9719,16,-81,-153,-16,-77
Iowa,Scott County,171317,171927,172223,172692,173283,1111,610,296,469,591
Iowa,Shelby County,11878,11786,11653,11577,11578,-20,-92,-133,-76,1
Iowa,Sioux County,34641,34769,34965,34841,34909,132,128,196,-124,68
Iowa,Story County,95797,96605,96845,97260,98105,1926,808,240,415,845
Iowa,Tama County,17311,17217,17191,17055,16904,-120,-94,-26,-136,-151
Iowa,Taylor County,6172,6256,6239,6148,6191,-58,84,-17,-91,43
Iowa,Union County,12624,12434,12368,12481,12359,10,-190,-66,113,-122
Iowa,Van Buren County,7391,7297,7241,7164,7020,-44,-94,-56,-77,-144
Iowa,Wapello County,35430,35505,35330,35107,35205,-79,75,-175,-223,98
Iowa,Warren County,47828,48465,49353,50102,51056,473,637,888,749,954
Iowa,Washington County,22032,22147,22137,22257,22141,87,115,-10,120,-116
Iowa,Wayne County,6376,6358,6444,6486,6401,-9,-18,86,42,-85
Iowa,Webster County,37070,37048,36746,36643,36277,-263,-22,-302,-103,-366
Iowa,Winnebago County,10554,10597,10597,10588,10518,125,43,0,-9,-70
Iowa,Winneshiek County,20694,20736,20413,20131,20029,-145,42,-323,-282,-102
Iowa,Woodbury County,102309,102491,102600,102052,102539,21,182,109,-548,487
Iowa,Worth County,7557,7502,7470,7461,7453,68,-55,-32,-9,-8
Iowa,Wright County,12905,12843,12835,12749,12690,-77,-62,-8,-86,-59
Kansas,Kansas,2900896,2909502,2911263,2910689,2911505,7386,8606,1761,-574,816
Kansas,Allen County,12890,12662,12634,12518,12444,-177,-228,-28,-116,-74
Kansas,Anderson County,7881,7817,7815,7860,7878,28,-64,-2,45,18
Kansas,Atchison County,16524,16419,16376,16301,16193,-166,-105,-43,-75,-108
Kansas,Barber County,4882,4824,4673,4583,4472,-28,-58,-151,-90,-111
Kansas,Barton County,27345,27173,26896,26432,26111,-108,-172,-277,-464,-321
Kansas,Bourbon County,14798,14742,14642,14676,14653,-38,-56,-100,34,-23
Kansas,Brown County,9781,9698,9633,9612,9598,-129,-83,-65,-21,-14
Kansas,Butler County,65867,66245,66628,66836,66765,191,378,383,208,-71
Kansas,Chase County,2653,2655,2631,2658,2629,-36,2,-24,27,-29
Kansas,Chautauqua County,3455,3386,3359,3328,3309,-73,-69,-27,-31,-19
Kansas,Cherokee County,20766,20527,20232,20114,20015,-132,-239,-295,-118,-99
Kansas,Cheyenne County,2686,2677,2674,2690,2660,15,-9,-3,16,-30
Kansas,Clark County,2114,2081,2064,1999,2005,-64,-33,-17,-65,6
Kansas,Clay County,8302,8294,8101,8016,7997,-87,-8,-193,-85,-19
Kansas,Cloud County,9332,9200,9095,8944,8729,-24,-132,-105,-151,-215
Kansas,Coffey County,8395,8290,8333,8228,8233,17,-105,43,-105,5
Kansas,Comanche County,1950,1827,1840,1767,1748,24,-123,13,-73,-19
Kansas,Cowley County,35889,35773,35717,35356,35218,-275,-116,-56,-361,-138
Kansas,Crawford County,39263,39151,39078,39031,39019,17,-112,-73,-47,-12
Kansas,Decatur County,2897,2926,2832,2878,2871,-11,29,-94,46,-7
Kansas,Dickinson County,19303,19204,18955,18842,18717,-127,-99,-249,-113,-125
Kansas,Doniphan County,7839,7784,7712,7665,7682,-37,-55,-72,-47,17
Kansas,Douglas County,116448,118222,119858,120629,121436,1737,1774,1636,771,807
Kansas,Edwards County,3025,2956,2901,2893,2849,58,-69,-55,-8,-44
Kansas,Elk County,2695,2573,2510,2522,2508,62,-122,-63,12,-14
Kansas,Ellis County,28963,29002,28948,28769,28710,-67,39,-54,-179,-59
Kansas,Ellsworth County,6349,6307,6304,6307,6196,-19,-42,-3,3,-111
Kansas,Finney County,37148,37208,36963,36853,36611,51,60,-245,-110,-242
Kansas,Ford County,34958,34693,34594,34288,33888,58,-265,-99,-306,-400
Kansas,Franklin County,25528,25469,25530,25657,25631,-202,-59,61,127,-26
Kansas,Geary County,36451,36660,35136,33633,32594,-351,209,-1524,-1503,-1039
Kansas,Gove County,2748,2698,2623,2630,2612,-46,-50,-75,7,-18
Kansas,Graham County,2557,2597,2573,2505,2492,-31,40,-24,-68,-13
Kansas,Grant County,7799,7737,7689,7518,7336,-54,-62,-48,-171,-182
Kansas,Gray County,6061,6077,6020,5996,6033,81,16,-57,-24,37
Kansas,Greeley County,1301,1301,1277,1233,1227,19,0,-24,-44,-6
Kansas,Greenwood County,6288,6233,6109,6094,6055,-70,-55,-124,-15,-39
Kansas,Hamilton County,2659,2565,2629,2620,2607,39,-94,64,-9,-13
Kansas,Harper County,5827,5781,5669,5583,5506,-12,-46,-112,-86,-77
Kansas,Harvey County,34603,34811,34736,34413,34210,-117,208,-75,-323,-203
Kansas,Haskell County,4099,4088,4022,4031,3997,-25,-11,-66,9,-34
Kansas,Hodgeman County,1883,1860,1834,1849,1818,-41,-23,-26,15,-31
Kansas,Jackson County,13437,13284,13269,13321,13280,127,-153,-15,52,-41
Kansas,Jefferson County,18822,18813,18842,18990,18975,32,-9,29,148,-15
Kansas,Jewell County,3043,2962,2880,2855,2841,-17,-81,-82,-25,-14
Kansas,Johnson County,573043,579708,585921,591284,597555,6632,6665,6213,5363,6271
Kansas,Kearny County,3939,3936,3902,3940,3943,27,-3,-34,38,3
Kansas,Kingman County,7683,7634,7412,7313,7310,-118,-49,-222,-99,-3
Kansas,Kiowa County,2532,2572,2510,2501,2516,-2,40,-62,-9,15
Kansas,Labette County,20774,20630,20313,20152,19964,-98,-144,-317,-161,-188
Kansas,Lane County,1666,1630,1593,1546,1560,-32,-36,-37,-47,14
Kansas,Leavenworth County,78537,79099,80190,81032,81352,468,562,1091,842,320
Kansas,Lincoln County,3183,3144,3082,3051,3023,23,-39,-62,-31,-28
Kansas,Linn County,9537,9582,9608,9696,9750,-7,45,26,88,54
Kansas,Logan County,2768,2786,2818,2834,2844,-7,18,32,16,10
Kansas,Lyon County,33154,33165,33425,33344,33406,-335,11,260,-81,62
Kansas,McPherson County,28893,28634,28411,28673,28537,-519,-259,-223,262,-136
Kansas,Marion County,12185,12047,12008,11972,11950,-18,-138,-39,-36,-22
Kansas,Marshall County,9943,9842,9783,9698,9722,-29,-101,-59,-85,24
Kansas,Meade County,4358,4303,4238,4260,4146,71,-55,-65,22,-114
Kansas,Miami County,32868,32756,32916,33413,33680,34,-112,160,497,267
Kansas,Mitchell County,6246,6300,6224,6191,6150,-62,54,-76,-33,-41
Kansas,Montgomery County,34095,33426,32820,32388,32120,-354,-669,-606,-432,-268
Kansas,Morris County,5664,5628,5552,5466,5521,-55,-36,-76,-86,55
Kansas,Morton County,3040,2952,2787,2744,2667,-76,-88,-165,-43,-77
Kansas,Nemaha County,10087,10093,10088,10098,10155,-7,6,-5,10,57
Kansas,Neosho County,16323,16261,16062,16028,15951,-59,-62,-199,-34,-77
Kansas,Ness County,3089,3015,2953,2878,2840,2,-74,-62,-75,-38
Kansas,Norton County,5534,5538,5494,5436,5430,-80,4,-44,-58,-6
Kansas,Osage County,15969,15863,15807,15830,15941,-110,-106,-56,23,111
Kansas,Osborne County,3752,3642,3592,3556,3475,-48,-110,-50,-36,-81
Kansas,Ottawa County,6029,5937,5908,5834,5802,-14,-92,-29,-74,-32
Kansas,Pawnee County,6822,6768,6717,6670,6562,-41,-54,-51,-47,-108
Kansas,Phillips County,5496,5421,5404,5400,5317,-66,-75,-17,-4,-83
Kansas,Pottawatomie County,22738,23126,23612,23972,24277,165,388,486,360,305
Kansas,Pratt County,9767,9696,9554,9513,9378,-9,-71,-142,-41,-135
Kansas,Rawlins County,2543,2508,2500,2485,2508,-19,-35,-8,-15,23
Kansas,Reno County,63699,63591,63184,62688,62342,-373,-108,-407,-496,-346
Kansas,Republic County,4741,4688,4660,4675,4664,-26,-53,-28,15,-11
Kansas,Rice County,9968,9925,9788,9598,9531,-8,-43,-137,-190,-67
Kansas,Riley County,76485,77149,75163,73982,73703,-451,664,-1986,-1181,-279
Kansas,Rooks County,5204,5182,5123,5067,5013,10,-22,-59,-56,-54
Kansas,Rush County,3162,3100,3055,3065,3093,-16,-62,-45,10,28
Kansas,Russell County,7004,7040,7004,6929,6907,30,36,-36,-75,-22
Kansas,Saline County,55524,55453,54977,54529,54401,-238,-71,-476,-448,-128
Kansas,Scott County,4969,4952,4983,4943,4897,60,-17,31,-40,-46
Kansas,Sedgwick County,509072,511164,513188,513289,513607,2554,2092,2024,101,318
Kansas,Seward County,23335,23270,22878,22199,21780,0,-65,-392,-679,-419
Kansas,Shawnee County,178586,178736,178426,178173,177499,-71,150,-310,-253,-674
Kansas,Sheridan County,2502,2476,2487,2531,2533,2,-26,11,44,2
Kansas,Sherman County,6067,5963,5954,5948,5899,-23,-104,-9,-6,-49
Kansas,Smith County,3729,3689,3656,3636,3603,30,-40,-33,-20,-33
Kansas,Stafford County,4282,4216,4186,4207,4178,-58,-66,-30,21,-29
Kansas,Stanton County,2139,2069,2089,2029,1987,-37,-70,20,-60,-42
Kansas,Stevens County,5842,5795,5661,5573,5559,32,-47,-134,-88,-14
Kansas,Sumner County,23379,23403,23165,23098,22996,-154,24,-238,-67,-102
Kansas,Thomas County,7836,7896,7847,7830,7711,-97,60,-49,-17,-119
Kansas,Trego County,2895,2906,2849,2848,2793,-50,11,-57,-1,-55
Kansas,Wabaunsee County,6938,6884,6881,6839,6899,-87,-54,-3,-42,60
Kansas,Wallace County,1501,1505,1502,1526,1503,-59,4,-3,24,-23
Kansas,Washington County,5610,5568,5563,5466,5420,-15,-42,-5,-97,-46
Kansas,Wichita County,2185,2164,2130,2130,2105,-5,-21,-34,0,-25
Kansas,Wilson County,8973,8848,8700,8712,8665,-121,-125,-148,12,-47
Kansas,Woodson County,3188,3144,3190,3145,3183,-28,-44,46,-45,38
Kansas,Wyandotte County,162320,163832,164934,165313,165324,1336,1512,1102,379,11
Kentucky,Kentucky,4414483,4425999,4438229,4453874,4468402,9666,11516,12230,15645,14528
Kentucky,Adair County,19265,19168,19264,19294,19215,139,-97,96,30,-79
Kentucky,Allen County,20510,20678,20738,20921,21122,177,168,60,183,201
Kentucky,Anderson County,21853,21891,22146,22518,22663,116,38,255,372,145
Kentucky,Ballard County,8189,8216,8045,8021,7979,-65,27,-171,-24,-42
Kentucky,Barren County,43048,43566,43794,43815,44176,96,518,228,21,361
Kentucky,Bath County,12131,12201,12245,12378,12383,157,70,44,133,5
Kentucky,Bell County,27847,27391,27231,26904,26569,-200,-456,-160,-327,-335
Kentucky,Boone County,126330,127818,129185,130611,131533,1650,1488,1367,1426,922
Kentucky,Bourbon County,20074,20182,20147,20132,20184,36,108,-35,-15,52
Kentucky,Boyd County,48840,48506,48109,47759,47240,-77,-334,-397,-350,-519
Kentucky,Boyle County,29810,29762,29933,29958,30100,176,-48,171,25,142
Kentucky,Bracken County,8357,8288,8367,8277,8239,-64,-69,79,-90,-38
Kentucky,Breathitt County,13371,13369,13182,12931,12726,-162,-2,-187,-251,-205
Kentucky,Breckinridge County,19887,19987,19988,20151,20388,-160,100,1,163,237
Kentucky,Bullitt County,78052,78696,79231,80284,81069,1153,644,535,1053,785
Kentucky,Butler County,12736,12734,12683,12798,12772,32,-2,-51,115,-26
Kentucky,Caldwell County,12852,12752,12637,12677,12715,-35,-100,-115,40,38
Kentucky,Calloway County,38465,38658,38759,38865,39135,30,193,101,106,270
Kentucky,Campbell County,91637,91945,92055,92547,93152,548,308,110,492,605
Kentucky,Carlisle County,4963,4856,4787,4828,4771,2,-107,-69,41,-57
Kentucky,Carroll County,10755,10700,10633,10728,10737,-95,-55,-67,95,9
Kentucky,Carter County,27521,27443,27290,27193,27004,-84,-78,-153,-97,-189
Kentucky,Casey County,15783,15746,15768,15794,15888,-231,-37,22,26,94
Kentucky,Christian County,73379,73155,71860,71252,71671,-311,-224,-1295,-608,419
Kentucky,Clark County,35631,35675,35863,35940,36249,69,44,188,77,309
Kentucky,Clay County,21094,20990,20643,20273,20105,-104,-104,-347,-370,-168
Kentucky,Clinton County,10213,10189,10208,10239,10206,30,-24,19,31,-33
Kentucky,Crittenden County,9176,9169,9133,9021,8915,-3,-7,-36,-112,-106
Kentucky,Cumberland County,6727,6743,6738,6696,6659,-69,16,-5,-42,-37
Kentucky,Daviess County,98485,99509,100043,100546,101104,147,1024,534,503,558
Kentucky,Edmonson County,12010,11995,12081,12248,12274,-52,-15,86,167,26
Kentucky,Elliott County,7533,7548,7490,7508,7508,-18,15,-58,18,0
Kentucky,Estill County,14445,14377,14318,14227,14198,-41,-68,-59,-91,-29
Kentucky,Fayette County,311955,316002,319738,322193,323780,1945,4047,3736,2455,1587
Kentucky,Fleming County,14478,14578,14479,14428,14432,-62,100,-99,-51,4
Kentucky,Floyd County,38010,37535,36979,36261,35845,-476,-475,-556,-718,-416
Kentucky,Franklin County,49750,50096,50313,50504,50815,253,346,217,191,311
Kentucky,Fulton County,6267,6269,6190,6204,6120,-122,2,-79,14,-84
Kentucky,Gallatin County,8626,8601,8711,8745,8832,57,-25,110,34,87
Kentucky,Garrard County,16981,17213,17387,17497,17560,-19,232,174,110,63
Kentucky,Grant County,24814,24727,24915,25000,25121,261,-87,188,85,121
Kentucky,Graves County,37575,37230,37175,37173,37317,175,-345,-55,-2,144
Kentucky,Grayson County,26075,26143,26088,26264,26321,117,68,-55,176,57
Kentucky,Green County,11038,10973,10990,11064,11049,-136,-65,17,74,-15
Kentucky,Greenup County,36280,35983,35804,35491,35268,-180,-297,-179,-313,-223
Kentucky,Hancock County,8685,8644,8728,8778,8758,55,-41,84,50,-20
Kentucky,Hardin County,108531,106323,107041,108226,110356,-482,-2208,718,1185,2130
Kentucky,Harlan County,28018,27511,27005,26725,26409,-469,-507,-506,-280,-316
Kentucky,Harrison County,18630,18637,18565,18730,18778,61,7,-72,165,48
Kentucky,Hart County,18511,18418,18537,18762,18906,46,-93,119,225,144
Kentucky,Henderson County,46407,46399,46301,45989,45591,38,-8,-98,-312,-398
Kentucky,Henry County,15556,15572,15844,15994,16106,117,16,272,150,112
Kentucky,Hickman County,4678,4610,4606,4523,4421,-29,-68,-4,-83,-102
Kentucky,Hopkins County,46177,46077,45628,45369,45068,-265,-100,-449,-259,-301
Kentucky,Jackson County,13309,13327,13365,13420,13442,-84,18,38,55,22
Kentucky,Jefferson County,761973,765192,767711,770377,770517,2547,3219,2519,2666,140
Kentucky,Jessamine County,50894,51815,52198,53281,53920,749,921,383,1083,639
Kentucky,Johnson County,23259,23136,22862,22571,22386,-206,-123,-274,-291,-185
Kentucky,Kenton County,163210,164092,164676,165410,166051,505,882,584,734,641
Kentucky,Knott County,15955,15692,15505,15285,15126,-146,-263,-187,-220,-159
Kentucky,Knox County,31558,31485,31506,31484,31304,-95,-73,21,-22,-180
Kentucky,Larue County,14117,14121,14024,14211,14307,86,4,-97,187,96
Kentucky,Laurel County,59911,59930,60089,60299,60669,195,19,159,210,370
Kentucky,Lawrence County,15892,15873,15842,15735,15571,-18,-19,-31,-107,-164
Kentucky,Lee County,6796,6742,6593,6590,7033,-83,-54,-149,-3,443
Kentucky,Leslie County,10832,10646,10430,10309,10143,-154,-186,-216,-121,-166
Kentucky,Letcher County,23359,23044,22751,22328,21899,-185,-315,-293,-423,-429
Kentucky,Lewis County,13763,13600,13474,13358,13257,77,-163,-126,-116,-101
Kentucky,Lincoln County,24429,24343,24376,24498,24644,-11,-86,33,122,146
Kentucky,Livingston County,9327,9286,9194,9264,9242,-5,-41,-92,70,-22
Kentucky,Logan County,26823,26751,26670,27014,26989,-162,-72,-81,344,-25
Kentucky,Lyon County,8413,8311,8084,8113,8009,-42,-102,-227,29,-104
Kentucky,McCracken County,65353,64984,65340,65397,65346,-23,-369,356,57,-51
Kentucky,McCreary County,17922,17879,17542,17423,17408,-7,-43,-337,-119,-15
Kentucky,McLean County,9421,9412,9351,9219,9252,-44,-9,-61,-132,33
Kentucky,Madison County,87101,88237,89568,91226,92368,1142,1136,1331,1658,1142
Kentucky,Magoffin County,12982,12781,12665,12539,12362,38,-201,-116,-126,-177
Kentucky,Marion County,19071,19216,19152,19316,19404,-851,145,-64,164,88
Kentucky,Marshall County,30996,31060,31273,31311,31191,-222,64,213,38,-120
Kentucky,Martin County,12514,12304,11961,11495,11323,-156,-210,-343,-466,-172
