Per Capita Personal Income by County (Dollars),,,,,,
Series ID,Region Name,Region Code,2014,2015,2016,2017
PCPI28007,"Attala County, MS",28007,31001,31510,32265,33002
PCPI29007,"Audrain County, MO",29007,36816,37856,37992,38228
PCPI19009,"Audubon County, IA",19009,46956,44346,43351,43884
PCPI39011,"Auglaize County, OH",39011,42552,43010,44033,45932
PCPI46003,"Aurora County, SD",46003,48131,43178,40292,43282
PCPI48015,"Austin County, TX",48015,49177,50887,49060,49262
PCPI01001,"Autauga County, AL",01001,36677,38591,39509,40484
PCPI37011,"Avery County, NC",37011,31229,32795,33620,34885
PCPI22009,"Avoyelles Parish, LA",22009,34842,34658,35131,36626
PCPI08009,"Baca County, CO",08009,39606,37496,38757,42019
PCPI13005,"Bacon County, GA",13005,28640,29869,31276,32310
PCPI48017,"Bailey County, TX",48017,43351,44829,39170,44659
PCPI12003,"Baker County, FL",12003,27686,28991,29693,30804
PCPI41001,"Baker County, OR",41001,34839,37233,38313,39026
PCPI13007,"Baker County, GA",13007,33325,34734,35431,34137
PCPI13009,"Baldwin County, GA",13009,29282,30342,31096,32176
PCPI01003,"Baldwin County, AL",01003,39561,41412,43004,44079
PCPI21007,"Ballard County, KY",21007,35951,35451,35508,36849
PCPI24510,"Baltimore city, MD",24510,44043,46150,47553,49168
PCPI24005,"Baltimore County, MD",24005,53497,55215,56829,59130
PCPI45009,"Bamberg County, SC",45009,29952,30295,31292,31881
PCPI48019,"Bandera County, TX",48019,41224,41441,41682,42330
PCPI13011,"Banks County, GA",13011,30809,32207,32829,34749
PCPI31007,"Banner County, NE",31007,83803,68824,69323,56007
PCPI16005,"Bannock County, ID",16005,33022,34659,35652,36987
PCPI26013,"Baraga County, MI",26013,29718,30256,30541,31211
PCPI20007,"Barber County, KS",20007,46123,38940,38317,39718
PCPI01005,"Barbour County, AL",01005,29941,31509,31750,33453
PCPI54001,"Barbour County, WV",54001,28798,28798,29077,30472
PCPI38003,"Barnes County, ND",38003,48527,47989,52510,48674
PCPI25001,"Barnstable County, MA",25001,61979,65272,67512,70430
PCPI45011,"Barnwell County, SC",45011,29966,30750,31418,32428
PCPI21009,"Barren County, KY",21009,33602,34859,34245,35184
PCPI55005,"Barron County, WI",55005,42793,44626,44380,46214
PCPI13013,"Barrow County, GA",13013,32175,33479,34213,35164
PCPI29009,"Barry County, MO",29009,31828,32863,31948,33277
PCPI26015,"Barry County, MI",26015,38962,40640,41859,42745
PCPI18005,"Bartholomew County, IN",18005,44609,45606,46181,47804
