month,state,permit,totals
2018-06,New Jersey,0,7413
2018-06,New Mexico,979,11259
2018-06,New York,2168,23921
2018-06,North Carolina,22909,37350
2018-06,North Dakota,724,4124
2018-06,Ohio,15490,47756
2018-06,Oklahoma,1,22471
2018-06,Oregon,5105,26685
2018-06,Pennsylvania,22056,71106
2018-06,Puerto Rico,0,2522
2018-06,Rhode Island,0,1685
2018-06,South Carolina,3611,18597
2018-06,South Dakota,954,5779
2018-06,Tennessee,14845,47938
2018-06,Texas,25805,108008
2018-06,Utah,22412,29176
2018-06,Vermont,0,2725
2018-06,Virgin Islands,65,116
2018-06,Virginia,2384,32496
2018-06,Washington,12764,44090
2018-06,West Virginia,2315,14127
2018-06,Wisconsin,7537,26403
2018-06,Wyoming,467,4362
2018-05,Alabama,19919,33193
2018-05,Alaska,318,7548
2018-05,Arizona,6691,28285
2018-05,Arkansas,6293,17667
2018-05,California,40430,104498
2018-05,Colorado,11662,41583
2018-05,Connecticut,7459,14409
2018-05,Delaware,722,3674
2018-05,District of Columbia,199,289
2018-05,Florida,21026,95481
2018-05,Georgia,18886,39528
2018-05,Guam,0,156
2018-05,Hawaii,1185,1187
2018-05,Idaho,9651,18243
2018-05,Illinois,13239,233963
2018-05,Indiana,51103,78143
2018-05,Iowa,6620,13766
2018-05,Kansas,1816,11062
2018-05,Kentucky,379571,395487
2018-05,Louisiana,2794,20265
2018-05,Maine,754,6847
2018-05,Mariana Islands,0,13
2018-05,Maryland,3076,11990
2018-05,Massachusetts,11331,18574
2018-05,Michigan,19715,35563
2018-05,Minnesota,36965,47533
2018-05,Mississippi,2717,15999
2018-05,Missouri,710,31607
2018-05,Montana,1279,8952
2018-05,Nebraska,3803,5165
2018-05,Nevada,2952,10327
2018-05,New Hampshire,2339,9875
2018-05,New Jersey,0,8037
2018-05,New Mexico,1130,11432
2018-05,New York,2877,25621
2018-05,North Carolina,28921,43211
2018-05,North Dakota,1022,4539
2018-05,Ohio,17766,51734
2018-05,Oklahoma,5,21697
2018-05,Oregon,5774,28305
2018-05,Pennsylvania,23778,75296
2018-05,Puerto Rico,0,2616
2018-05,Rhode Island,0,1887
2018-05,South Carolina,2725,17103
2018-05,South Dakota,846,5720
2018-05,Tennessee,18763,50613
2018-05,Texas,32974,111159
2018-05,Utah,24171,31638
2018-05,Vermont,2,2818
2018-05,Virgin Islands,93,136
2018-05,Virginia,1222,32135
2018-05,Washington,14889,46008
2018-05,West Virginia,5229,17108
2018-05,Wisconsin,8419,28841
2018-05,Wyoming,670,4820
2018-04,Alabama,20808,34915
2018-04,Alaska,276,7367
2018-04,Arizona,7102,31658
2018-04,Arkansas,5363,18240
2018-04,California,53448,121478
2018-04,Colorado,11917,47462
2018-04,Connecticut,7142,15269
2018-04,Delaware,764,4988
2018-04,District of Columbia,224,321
2018-04,Florida,22491,102426
2018-04,Georgia,21145,43671
2018-04,Guam,0,155
2018-04,Hawaii,1387,1393
2018-04,Idaho,7497,16974
2018-04,Illinois,18258,238774
2018-04,Indiana,43928,78367
2018-04,Iowa,10536,17457
2018-04,Kansas,1382,13184
2018-04,Kentucky,390433,409485
2018-04,Louisiana,3109,22491
2018-04,Maine,787,8745
2018-04,Mariana Islands,0,22
2018-04,Maryland,3555,14105
2018-04,Massachusetts,9563,17983
2018-04,Michigan,22715,44190
2018-04,Minnesota,46888,64410
2018-04,Mississippi,2814,17470
2018-04,Missouri,944,38859
2018-04,Montana,1531,9795
2018-04,Nebraska,4926,6643
2018-04,Nevada,3313,11470
